,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.14, 17.9  /  15.6  /  4.5 ,50.0%,10.8%,248,0.1%,"23,641"
1,2,Jett,1.08, 17.2  /  15.9  /  3.8 ,49.1%,9.0%,240,0.1%,"19,777"
2,3,Omen,0.98, 14.9  /  15.2  /  6.7 ,48.6%,7.9%,206,0.1%,"17,304"
3,4,Sage,0.92, 13.7  /  14.9  /  7.1 ,51.4%,7.8%,191,0.1%,"16,999"
4,5,Raze,1.07, 16.8  /  15.8  /  5 ,49.4%,7.2%,245,0.1%,"15,814"
5,6,Killjoy,1, 14.3  /  14.3  /  3.8 ,50.2%,7.1%,200,0.2%,"15,528"
6,7,Gekko,0.96, 14.3  /  14.9  /  5 ,51.5%,6.0%,196,0.1%,"13,129"
7,8,Breach,0.94, 14.6  /  15.5  /  6.8 ,50.6%,4.8%,202,0.1%,"10,565"
8,9,Skye,0.94, 14.1  /  15  /  7.8 ,49.2%,4.8%,198,0.1%,"10,554"
9,10,Brimstone,0.97, 14.6  /  15  /  8.1 ,51.3%,4.6%,206,0.1%,"9,987"
10,11,Fade,0.94, 14.3  /  15.3  /  6.3 ,48.8%,3.8%,198,0.1%,"8,340"
11,12,Chamber,1.09, 16.3  /  14.9  /  3 ,48.1%,3.7%,222,0.1%,"8,004"
12,13,Cypher,0.99, 14.6  /  14.7  /  4.8 ,47.8%,3.4%,199,0.2%,"7,335"
13,14,Phoenix,1.12, 17.3  /  15.5  /  4.6 ,51.1%,3.2%,242,0.1%,"7,051"
14,15,KAY/O,0.91, 14.2  /  15.7  /  9.1 ,45.1%,3.1%,203,0.1%,"6,816"
15,16,Harbor,0.92, 13.9  /  15.2  /  5.9 ,47.9%,2.6%,192,0.1%,"5,667"
16,17,Sova,0.98, 14.5  /  14.8  /  5.4 ,51.3%,2.4%,203,0.1%,"5,175"
17,18,Viper,0.98, 14.6  /  14.8  /  5.6 ,50.0%,2.2%,204,0.2%,"4,866"
18,19,Astra,1.02, 15.1  /  14.7  /  5.9 ,49.3%,2.1%,207,0.1%,"4,694"
19,20,Neon,0.99, 16.3  /  16.5  /  4.4 ,48.5%,2.1%,230,0.1%,"4,571"
20,21,Yoru,0.99, 15.6  /  15.7  /  4.2 ,45.0%,1.4%,217,0.1%,"2,962"
