,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.11, 16.9  /  15.2  /  4.6 ,50.1%,11.3%,240,0.2%,"458,712"
1,2,Sage,0.88, 12.8  /  14.5  /  6.9 ,49.8%,9.6%,183,0.1%,"387,673"
2,3,Omen,0.96, 14.3  /  14.9  /  6.7 ,48.9%,9.0%,202,0.1%,"364,048"
3,4,Killjoy,0.99, 13.8  /  13.9  /  4.1 ,51.0%,8.0%,198,0.1%,"322,727"
4,5,Jett,1.06, 16.3  /  15.4  /  3.9 ,49.7%,7.7%,232,0.2%,"309,212"
5,6,Raze,1.01, 15.6  /  15.4  /  5.2 ,49.8%,6.5%,232,0.2%,"261,770"
6,7,Brimstone,0.95, 13.9  /  14.6  /  8 ,51.0%,5.4%,203,0.1%,"216,262"
7,8,Sova,0.97, 13.9  /  14.4  /  5.6 ,50.0%,5.3%,200,0.1%,"215,671"
8,9,Skye,0.89, 13.1  /  14.8  /  7.7 ,49.0%,4.7%,189,0.1%,"190,223"
9,10,Deadlock,0.95, 14  /  14.8  /  4 ,48.8%,4.6%,207,0.1%,"187,439"
10,11,Phoenix,1.05, 15.8  /  15  /  4.7 ,49.9%,3.6%,228,0.2%,"146,346"
11,12,Gekko,0.88, 13.1  /  14.9  /  4.7 ,48.3%,3.3%,185,0.1%,"133,605"
12,13,KAY/O,0.87, 13.1  /  15.2  /  8 ,46.6%,2.9%,192,0.1%,"116,755"
13,14,Cypher,0.96, 13.7  /  14.3  /  5 ,48.7%,2.8%,192,0.1%,"111,392"
14,15,Fade,0.89, 13.2  /  14.8  /  6.2 ,48.5%,2.6%,190,0.1%,"103,815"
15,16,Chamber,1.05, 15.4  /  14.7  /  3.3 ,48.7%,2.5%,214,0.2%,"99,392"
16,17,Viper,0.95, 13.8  /  14.5  /  5.4 ,48.9%,2.2%,198,0.1%,"90,891"
17,18,Neon,0.96, 15.2  /  15.8  /  4.2 ,47.6%,2.2%,218,0.2%,"90,602"
18,19,Yoru,0.96, 14.7  /  15.2  /  4.3 ,46.3%,2.1%,209,0.1%,"86,333"
19,20,Breach,0.92, 13.9  /  15.2  /  6.1 ,48.8%,2.0%,199,0.1%,"79,607"
20,21,Astra,1, 14.4  /  14.4  /  6.2 ,49.3%,1.0%,203,0.1%,"40,732"
21,22,Harbor,0.89, 13.3  /  15.1  /  5.7 ,45.7%,0.7%,190,0.1%,"28,628"
