,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.2  /  15.9  /  3.8 ,48.9%,13.5%,238,0.1%,"745,092",Duelist
1,2,Reyna,1.14, 17.8  /  15.7  /  4.5 ,49.7%,10.3%,246,0.1%,"566,639",Duelist
2,3,Viper,1.01, 14.8  /  14.7  /  6.1 ,49.7%,6.9%,206,0.1%,"382,954",Controller
3,4,Sage,0.91, 13.6  /  15  /  7.2 ,50.2%,6.6%,189,0.1%,"363,601",Sentinel
4,5,Killjoy,1.01, 14.5  /  14.4  /  3.8 ,49.7%,6.3%,201,0.1%,"347,801",Sentinel
5,6,Skye,0.94, 14.3  /  15.2  /  8 ,49.1%,6.0%,198,0.1%,"330,236",Initiator
6,7,Gekko,0.94, 14.2  /  15  /  5 ,50.3%,5.4%,193,0.1%,"300,074",Initiator
7,8,Fade,0.95, 14.4  /  15.1  /  6.6 ,49.1%,4.8%,199,0.1%,"264,558",Initiator
8,9,Chamber,1.08, 16.1  /  14.9  /  3 ,48.1%,4.8%,217,0.1%,"264,053",Sentinel
9,10,Raze,1.04, 16.5  /  15.9  /  4.9 ,49.6%,4.4%,238,0.1%,"244,859",Duelist
10,11,Cypher,1.0, 14.6  /  14.6  /  4.8 ,49.2%,4.1%,199,0.1%,"227,807",Sentinel
11,12,Harbor,0.9, 13.7  /  15.2  /  6.3 ,46.7%,4.0%,189,0.1%,"220,659",Controller
12,13,Phoenix,1.12, 17.4  /  15.5  /  4.9 ,50.9%,3.9%,243,0.1%,"212,964",Duelist
13,14,Astra,1.04, 15.1  /  14.5  /  6.6 ,50.1%,3.8%,205,0.1%,"208,313",Controller
14,15,Brimstone,0.96, 14.3  /  14.9  /  8.6 ,50.7%,3.4%,203,0.1%,"186,341",Controller
15,16,Omen,0.95, 14.6  /  15.3  /  6.8 ,47.1%,3.3%,202,0.1%,"183,013",Controller
16,17,KAY/O,0.91, 14.3  /  15.7  /  8.7 ,44.9%,2.6%,203,0.1%,"145,793",Initiator
17,18,Sova,0.99, 14.6  /  14.8  /  5.7 ,48.3%,2.2%,205,0.1%,"120,764",Initiator
18,19,Neon,0.97, 16  /  16.5  /  4.3 ,47.1%,1.3%,225,0.1%,"74,094",Duelist
19,20,Yoru,1.01, 16  /  15.8  /  4.6 ,46.5%,1.3%,221,0.1%,"70,499",Duelist
20,21,Breach,0.92, 14.3  /  15.5  /  6.7 ,47.1%,1.2%,200,0.1%,"65,696",Initiator
