,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.92, 13.7  /  14.9  /  7.1 ,50.1%,12.3%,190,0.1%,"28,660",Sentinel
1,2,Reyna,1.17, 18.4  /  15.7  /  4.4 ,50.5%,11.7%,255,0.1%,"27,347",Duelist
2,3,Jett,1.11, 17.8  /  16  /  4 ,50.2%,11.1%,250,0.1%,"25,971",Duelist
3,4,Viper,1.02, 15  /  14.7  /  5.7 ,50.6%,10.3%,208,0.2%,"24,083",Controller
4,5,Sova,1.0, 14.7  /  14.7  /  5.4 ,49.4%,7.5%,205,0.1%,"17,585",Initiator
5,6,Killjoy,1.01, 14.4  /  14.3  /  3.8 ,50.2%,6.4%,202,0.2%,"14,821",Sentinel
6,7,Raze,1.04, 16.7  /  16  /  4.7 ,49.2%,6.0%,241,0.1%,"13,884",Duelist
7,8,Gekko,0.95, 14.3  /  15  /  4.8 ,49.7%,5.4%,196,0.1%,"12,524",Initiator
8,9,Omen,0.99, 15.3  /  15.5  /  5.9 ,49.0%,4.9%,213,0.1%,"11,482",Controller
9,10,KAY/O,0.93, 14.5  /  15.5  /  8.7 ,45.6%,3.5%,207,0.1%,"8,189",Initiator
10,11,Chamber,1.1, 16.4  /  14.9  /  3.1 ,49.0%,2.8%,222,0.1%,"6,619",Sentinel
11,12,Fade,0.93, 14.3  /  15.3  /  6.4 ,47.5%,2.8%,201,0.1%,"6,469",Initiator
12,13,Brimstone,0.96, 14.5  /  15  /  7.2 ,50.4%,2.7%,206,0.1%,"6,266",Controller
13,14,Skye,0.94, 14.4  /  15.2  /  7.4 ,48.1%,2.5%,201,0.1%,"5,904",Initiator
14,15,Phoenix,1.11, 17.2  /  15.5  /  4.4 ,50.5%,2.4%,240,0.1%,"5,523",Duelist
15,16,Neon,1.01, 16.7  /  16.6  /  4.2 ,49.2%,1.7%,234,0.1%,"3,953",Duelist
16,17,Cypher,1.0, 14.7  /  14.7  /  4.5 ,46.1%,1.4%,201,0.1%,"3,344",Sentinel
17,18,Yoru,1.01, 16.2  /  16  /  4.1 ,46.1%,1.4%,223,0.1%,"3,234",Duelist
18,19,Harbor,0.92, 13.9  /  15.2  /  5.9 ,47.0%,1.4%,194,0.1%,"3,234",Controller
19,20,Breach,0.92, 14.4  /  15.6  /  6.1 ,48.4%,1.1%,202,0.1%,"2,594",Initiator
20,21,Astra,1.02, 14.9  /  14.7  /  5.3 ,48.7%,0.6%,207,0.1%,"1,444",Controller
