,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.12, 17.4  /  15.5  /  3.4 ,52.5%,14.7%,245,0.1%,552.0,Duelist
1,2,Gekko,1.03, 15.1  /  14.6  /  5.4 ,52.7%,11.4%,203,0.1%,429.0,Initiator
2,3,Breach,0.97, 14.6  /  15.1  /  8.5 ,47.1%,10.0%,198,0.2%,376.0,Initiator
3,4,Omen,1.0, 15.3  /  15.4  /  8.4 ,45.6%,9.9%,208,0.1%,371.0,Controller
4,5,Killjoy,1.16, 16.8  /  14.5  /  3.4 ,53.5%,9.8%,224,0.2%,368.0,Sentinel
5,6,Raze,1.11, 17.9  /  16.1  /  4.7 ,51.0%,8.2%,254,0.1%,308.0,Duelist
6,7,Chamber,1.07, 16.2  /  15.1  /  2.5 ,48.8%,6.5%,213,0.1%,242.0,Sentinel
7,8,Reyna,1.14, 19  /  16.7  /  4.3 ,46.7%,5.6%,248,0.1%,210.0,Duelist
8,9,Harbor,0.98, 15.1  /  15.5  /  6.3 ,45.8%,4.1%,205,0.1%,155.0,Controller
9,10,Skye,0.95, 14.2  /  14.9  /  8.3 ,52.7%,4.0%,204,0.1%,150.0,Initiator
10,11,Astra,1.09, 14.9  /  13.8  /  6.5 ,46.6%,3.9%,203,0.2%,146.0,Controller
11,12,Cypher,1.07, 15.9  /  14.9  /  4.6 ,52.7%,2.4%,208,0.2%,91.0,Sentinel
12,13,Sage,1.18, 16.5  /  14  /  5.6 ,55.4%,2.0%,228,0.1%,74.0,Sentinel
13,14,Fade,1.09, 15.8  /  14.5  /  6.6 ,48.1%,1.4%,215,0.2%,52.0,Initiator
14,15,Brimstone,1.09, 15.5  /  14.3  /  10.7 ,56.9%,1.4%,214,0.2%,51.0,Controller
15,16,Neon,1.14, 18.6  /  16.2  /  4.4 ,56.5%,1.2%,258,0.1%,46.0,Duelist
16,17,Phoenix,1.13, 17.9  /  15.8  /  5.1 ,64.3%,1.1%,229,0.2%,42.0,Duelist
17,18,Sova,0.99, 14.6  /  14.7  /  7.5 ,42.4%,0.9%,206,0.2%,33.0,Initiator
18,19,Yoru,1.0, 15.9  /  16  /  3.9 ,50.0%,0.9%,220,0.1%,32.0,Duelist
19,20,KAY/O,1.22, 18  /  14.8  /  12.5 ,69.2%,0.3%,238,0.2%,13.0,Initiator
20,21,Viper,1.04, 12.1  /  11.7  /  6 ,44.4%,0.2%,223,9,,Controller
