,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.97, 14.6  /  15  /  7.6 ,51.0%,13.1%,201,0.1%,"18,098"
1,2,Raze,1.06, 17.1  /  16.2  /  4.9 ,49.9%,11.1%,246,0.1%,"15,406"
2,3,Jett,1.07, 17.4  /  16.2  /  3.8 ,49.3%,11.0%,240,0.1%,"15,294"
3,4,Omen,1, 15.2  /  15.2  /  7.7 ,49.0%,9.6%,209,0.1%,"13,310"
4,5,Reyna,1.13, 17.8  /  15.7  /  4.5 ,50.8%,8.7%,245,0.1%,"12,043"
5,6,Skye,0.97, 14.7  /  15.2  /  7.8 ,50.1%,6.6%,203,0.1%,"9,115"
6,7,Killjoy,1.04, 15.1  /  14.5  /  3.9 ,50.1%,6.3%,208,0.2%,"8,674"
7,8,Cypher,1.02, 15.1  /  14.7  /  4.8 ,49.0%,6.2%,204,0.2%,"8,610"
8,9,Brimstone,0.98, 14.9  /  15.2  /  9.4 ,49.5%,4.4%,211,0.1%,"6,149"
9,10,Astra,1.05, 15.6  /  14.8  /  7 ,48.6%,3.7%,211,0.1%,"5,150"
10,11,KAY/O,0.92, 14.3  /  15.6  /  9.3 ,45.4%,3.7%,204,0.1%,"5,063"
11,12,Fade,0.98, 14.7  /  15  /  6.2 ,50.4%,3.1%,202,0.1%,"4,327"
12,13,Breach,0.95, 14.6  /  15.4  /  7.1 ,47.8%,3.0%,201,0.1%,"4,191"
13,14,Phoenix,1.1, 17.2  /  15.6  /  4.7 ,50.9%,2.2%,239,0.1%,"3,044"
14,15,Chamber,1.07, 16.4  /  15.2  /  2.9 ,47.3%,1.7%,220,0.1%,"2,422"
15,16,Viper,1.05, 15.7  /  14.9  /  6 ,51.7%,1.7%,214,0.2%,"2,362"
16,17,Sova,0.99, 14.9  /  15  /  5.7 ,50.0%,1.7%,208,0.1%,"2,310"
17,18,Yoru,1.01, 16  /  15.9  /  4.5 ,44.7%,0.8%,221,0.1%,"1,158"
18,19,Neon,0.99, 16.4  /  16.6  /  4.3 ,44.9%,0.8%,232,0.1%,"1,093"
19,20,Harbor,0.91, 14.1  /  15.5  /  6.1 ,42.2%,0.6%,196,0.1%,808
