,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.78, 11.2  /  14.3  /  6.4 ,50.1%,14.4%,164,0.1%,"7,475"
1,2,Reyna,0.97, 14.5  /  14.9  /  4.5 ,50.0%,10.7%,213,0.1%,"5,547"
2,3,Raze,0.9, 13.5  /  14.9  /  4.9 ,49.5%,7.5%,206,0.1%,"3,924"
3,4,Jett,0.9, 13.5  /  15  /  3.9 ,47.7%,6.1%,199,0.1%,"3,158"
4,5,Omen,0.87, 12.9  /  14.8  /  5 ,48.9%,6.1%,186,0.1%,"3,153"
5,6,Killjoy,0.88, 12  /  13.6  /  4.2 ,53.8%,5.6%,180,0.2%,"2,927"
6,7,Fade,0.79, 11.7  /  14.9  /  5.8 ,48.0%,5.3%,172,0.1%,"2,781"
7,8,Yoru,0.83, 12.6  /  15.1  /  4.2 ,44.6%,5.0%,184,0.1%,"2,619"
8,9,Phoenix,0.9, 13.6  /  15.1  /  4.5 ,48.6%,4.6%,196,0.1%,"2,414"
9,10,Neon,0.82, 12.8  /  15.6  /  4.1 ,47.5%,4.3%,188,0.1%,"2,248"
10,11,Viper,0.82, 11.8  /  14.4  /  4.8 ,47.8%,4.2%,175,0.1%,"2,202"
11,12,Sova,0.81, 11.8  /  14.6  /  4.9 ,48.9%,4.1%,175,0.1%,"2,117"
12,13,Brimstone,0.86, 12.5  /  14.5  /  6.2 ,48.4%,3.7%,187,0.1%,"1,936"
13,14,Skye,0.81, 11.9  /  14.7  /  7.4 ,51.1%,3.7%,176,0.1%,"1,916"
14,15,KAY/O,0.78, 11.9  /  15.2  /  7.7 ,45.3%,3.3%,179,0.1%,"1,720"
15,16,Gekko,0.82, 12.1  /  14.7  /  4.6 ,50.5%,3.1%,175,0.1%,"1,619"
16,17,Cypher,0.87, 12.4  /  14.3  /  5.1 ,49.4%,2.9%,179,0.2%,"1,531"
17,18,Chamber,0.87, 12.7  /  14.6  /  3.6 ,50.1%,2.0%,182,0.1%,"1,024"
18,19,Breach,0.83, 12.5  /  15.1  /  5.3 ,47.9%,1.5%,184,0.1%,787
19,20,Harbor,0.79, 12.2  /  15.4  /  5.4 ,46.3%,1.0%,176,0.1%,536
20,21,Astra,0.9, 12.3  /  13.7  /  5 ,46.6%,0.7%,185,0.2%,363
