,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.81, 11.7  /  14.4  /  6.6 ,49.4%,13.3%,172,0.1%,"16,936"
1,2,Reyna,1.03, 15.6  /  15  /  4.8 ,49.0%,11.0%,225,0.1%,"14,021"
2,3,Raze,0.93, 14.1  /  15.1  /  5.2 ,49.2%,7.3%,216,0.1%,"9,242"
3,4,Omen,0.89, 13.2  /  14.9  /  5.3 ,49.2%,6.1%,191,0.1%,"7,782"
4,5,Killjoy,0.89, 12.4  /  14  /  4.2 ,51.2%,5.8%,184,0.2%,"7,400"
5,6,Jett,0.95, 14.4  /  15.2  /  4.1 ,48.1%,5.6%,211,0.1%,"7,126"
6,7,Fade,0.81, 12.1  /  14.9  /  6.3 ,48.0%,5.0%,178,0.1%,"6,390"
7,8,Phoenix,0.95, 14.1  /  14.9  /  4.7 ,47.4%,4.5%,208,0.1%,"5,765"
8,9,Yoru,0.88, 13.3  /  15.1  /  4.3 ,46.9%,4.3%,194,0.1%,"5,483"
9,10,Skye,0.83, 12.2  /  14.7  /  7.5 ,49.6%,4.2%,181,0.1%,"5,383"
10,11,Neon,0.89, 13.8  /  15.4  /  4.2 ,48.0%,4.2%,203,0.1%,"5,341"
11,12,Sova,0.85, 12.3  /  14.5  /  5.1 ,48.9%,4.1%,183,0.1%,"5,233"
12,13,Viper,0.85, 12.5  /  14.7  /  5.3 ,50.0%,3.9%,185,0.1%,"5,005"
13,14,Brimstone,0.88, 12.8  /  14.5  /  6.5 ,49.5%,3.9%,192,0.1%,"4,931"
14,15,Gekko,0.89, 12.9  /  14.5  /  5 ,53.1%,3.8%,186,0.1%,"4,829"
15,16,KAY/O,0.8, 12.1  /  15  /  8.2 ,46.2%,3.6%,182,0.1%,"4,526"
16,17,Cypher,0.89, 12.7  /  14.2  /  5 ,49.1%,2.8%,183,0.2%,"3,510"
17,18,Chamber,0.95, 13.7  /  14.5  /  3.6 ,47.4%,2.2%,198,0.1%,"2,797"
18,19,Breach,0.84, 12.8  /  15.2  /  5.8 ,48.4%,1.9%,186,0.1%,"2,455"
19,20,Harbor,0.81, 12.2  /  15  /  5.4 ,45.3%,1.7%,179,0.1%,"2,184"
20,21,Astra,0.95, 13.6  /  14.3  /  5.1 ,50.0%,0.8%,192,0.2%,"1,067"
