,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.7  /  16.2  /  3.5 ,49.4%,14.0%,240,0.1%,"2,448",Duelist
1,2,Raze,1.06, 17.1  /  16  /  4.6 ,51.3%,11.1%,242,0.1%,"1,932",Duelist
2,3,Breach,0.94, 14.4  /  15.4  /  8.1 ,48.5%,10.5%,195,0.1%,"1,830",Initiator
3,4,Omen,0.98, 15  /  15.4  /  7.8 ,48.0%,10.4%,203,0.1%,"1,810",Controller
4,5,Killjoy,1.1, 15.8  /  14.4  /  3.3 ,50.9%,10.1%,214,0.2%,"1,766",Sentinel
5,6,Reyna,1.11, 17.9  /  16  /  4.2 ,50.1%,7.8%,239,0.1%,"1,359",Duelist
6,7,Chamber,1.12, 16.9  /  15.1  /  2.7 ,48.4%,6.1%,223,0.1%,"1,061",Sentinel
7,8,Skye,0.97, 14.5  /  15  /  8.1 ,50.8%,5.5%,195,0.2%,959,Initiator
8,9,Astra,1.04, 15.2  /  14.7  /  7.1 ,52.3%,3.5%,204,0.1%,614,Controller
9,10,Harbor,0.94, 14.1  /  15.1  /  6.3 ,41.3%,3.4%,192,0.2%,588,Controller
10,11,Cypher,1.01, 15.3  /  15.1  /  4.5 ,47.1%,2.8%,202,0.1%,495,Sentinel
11,12,Fade,0.97, 14.7  /  15.2  /  6.6 ,47.2%,2.8%,201,0.2%,485,Initiator
12,13,Sage,1.07, 15.5  /  14.5  /  6.7 ,60.4%,2.0%,210,0.2%,341,Sentinel
13,14,Sova,1.04, 15.3  /  14.7  /  5.8 ,52.7%,1.9%,208,0.1%,336,Initiator
14,15,Brimstone,1.09, 15.4  /  14.1  /  9.3 ,59.6%,1.8%,216,0.2%,312,Controller
15,16,KAY/O,0.97, 14.8  /  15.4  /  10.4 ,46.9%,1.6%,211,0.1%,286,Initiator
16,17,Neon,0.95, 16  /  16.8  /  5 ,55.4%,1.6%,220,0.1%,276,Duelist
17,18,Phoenix,1.07, 17.2  /  16  /  4.9 ,45.3%,1.6%,238,0.1%,274,Duelist
18,19,Yoru,0.93, 14.7  /  15.8  /  4.6 ,37.1%,0.9%,199,0.1%,151,Duelist
19,20,Viper,1.0, 14.5  /  14.4  /  6.3 ,48.2%,0.8%,205,0.1%,141,Controller
