,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.12, 17.8  /  15.9  /  3.4 ,51.9%,15.4%,240,0.1%,578.0,Duelist
1,2,Astra,1.03, 14.9  /  14.4  /  7.6 ,48.5%,11.9%,206,0.1%,447.0,Controller
2,3,Gekko,0.98, 14.3  /  14.7  /  5.5 ,50.8%,11.3%,197,0.1%,423.0,Initiator
3,4,Killjoy,1.08, 15.6  /  14.5  /  3.4 ,51.6%,10.6%,211,0.1%,397.0,Sentinel
4,5,Fade,1.0, 15.3  /  15.3  /  6.4 ,47.0%,10.3%,210,0.1%,385.0,Initiator
5,6,Reyna,1.14, 17.5  /  15.4  /  4.3 ,56.3%,7.0%,247,0.1%,261.0,Duelist
6,7,Cypher,1.01, 14.9  /  14.7  /  4.3 ,45.5%,5.6%,201,0.2%,211.0,Sentinel
7,8,Phoenix,1.16, 18  /  15.5  /  4.8 ,54.9%,4.4%,249,0.1%,164.0,Duelist
8,9,Viper,1.03, 15.9  /  15.3  /  6.4 ,40.4%,3.9%,211,0.2%,146.0,Controller
9,10,Raze,1.08, 18.2  /  16.9  /  5 ,51.5%,3.6%,248,0.1%,136.0,Duelist
10,11,Sage,1.05, 15.1  /  14.4  /  6 ,53.4%,2.7%,216,0.2%,103.0,Sentinel
11,12,Harbor,0.84, 13.1  /  15.7  /  6 ,36.5%,2.6%,175,0.2%,96.0,Controller
12,13,KAY/O,0.9, 14.9  /  16.5  /  9.5 ,41.8%,2.4%,202,0.1%,91.0,Initiator
13,14,Skye,1.12, 15.4  /  13.7  /  8.1 ,54.5%,2.3%,220,0.1%,88.0,Initiator
14,15,Sova,1.06, 16.4  /  15.4  /  6.3 ,28.9%,2.0%,221,0.1%,76.0,Initiator
15,16,Brimstone,1.01, 15  /  14.9  /  7.7 ,33.3%,1.1%,209,0.1%,42.0,Controller
16,17,Yoru,1.08, 19.1  /  17.7  /  4.7 ,60.5%,1.0%,254,0.1%,38.0,Duelist
17,18,Chamber,0.99, 15.7  /  15.9  /  3.4 ,47.4%,1.0%,210,0.1%,38.0,Sentinel
18,19,Neon,1.3, 22.7  /  17.5  /  4 ,47.8%,0.6%,269,0.1%,23.0,Duelist
19,20,Omen,1.1, 18  /  16.3  /  6.2 ,33.3%,0.2%,224,0.1%,6.0,Controller
20,21,Breach,1.0, 14.5  /  14.5  /  7.3 ,75.0%,0.1%,201,4,,Initiator
