,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.4  /  15.9  /  3.7 ,49.4%,12.7%,239,0.1%,"13,281"
1,2,Breach,0.94, 14.5  /  15.4  /  7.3 ,47.7%,12.4%,199,0.1%,"12,993"
2,3,Brimstone,1, 14.8  /  14.8  /  9 ,50.4%,12.3%,207,0.2%,"12,835"
3,4,Reyna,1.15, 17.9  /  15.6  /  4.4 ,49.1%,9.3%,245,0.1%,"9,695"
4,5,Killjoy,1.04, 14.8  /  14.3  /  3.8 ,50.1%,8.4%,205,0.2%,"8,788"
5,6,Raze,1.07, 16.8  /  15.7  /  4.6 ,49.4%,7.9%,240,0.1%,"8,238"
6,7,Cypher,1.02, 14.9  /  14.7  /  4.9 ,48.7%,5.4%,202,0.1%,"5,676"
7,8,Sage,0.95, 14  /  14.7  /  7 ,51.3%,5.0%,194,0.1%,"5,246"
8,9,Fade,0.99, 14.7  /  14.9  /  6.2 ,49.5%,4.4%,202,0.1%,"4,597"
9,10,Viper,1, 14.7  /  14.7  /  5.7 ,48.0%,4.0%,204,0.2%,"4,172"
10,11,KAY/O,0.93, 14.5  /  15.5  /  9.2 ,47.4%,3.2%,206,0.1%,"3,349"
11,12,Neon,1.01, 16.7  /  16.5  /  4.4 ,47.4%,3.0%,233,0.1%,"3,183"
12,13,Chamber,1.09, 16.6  /  15.3  /  2.9 ,48.1%,2.8%,220,0.1%,"2,894"
13,14,Skye,0.94, 14.3  /  15.1  /  7.4 ,49.3%,2.3%,198,0.1%,"2,354"
14,15,Phoenix,1.14, 17.5  /  15.4  /  4.7 ,51.4%,1.9%,241,0.1%,"1,971"
15,16,Omen,1, 15.2  /  15.2  /  7.1 ,46.4%,1.7%,208,0.1%,"1,740"
16,17,Astra,1, 14.8  /  14.8  /  6.7 ,47.7%,1.1%,202,0.2%,"1,147"
17,18,Yoru,1.02, 16.3  /  16  /  4.6 ,47.9%,0.8%,221,0.1%,874
18,19,Harbor,0.93, 14.4  /  15.4  /  5.9 ,41.8%,0.8%,194,0.1%,797
19,20,Sova,0.97, 14.7  /  15.1  /  5.4 ,48.0%,0.8%,206,0.1%,785
