,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.3  /  16.1  /  3.4 ,49.8%,19.2%,235,0.2%,"39,023"
1,2,Omen,0.98, 14.7  /  15  /  8.8 ,49.2%,14.3%,200,0.1%,"28,977"
2,3,Sova,1, 14.8  /  14.8  /  5.7 ,49.6%,12.0%,202,0.1%,"24,242"
3,4,Reyna,1.09, 17.4  /  16  /  4.3 ,48.6%,9.4%,236,0.2%,"19,062"
4,5,Killjoy,1.05, 15.4  /  14.7  /  3.2 ,50.6%,8.9%,207,0.1%,"18,071"
5,6,Skye,0.95, 14.5  /  15.3  /  7.8 ,49.7%,5.2%,198,0.1%,"10,640"
6,7,Chamber,1.08, 16.7  /  15.4  /  2.6 ,48.0%,4.2%,219,0.2%,"8,451"
7,8,Cypher,1.04, 15.4  /  14.8  /  4.5 ,50.7%,4.0%,204,0.1%,"8,100"
8,9,Raze,1.03, 16.6  /  16.1  /  4.5 ,49.8%,3.8%,235,0.2%,"7,712"
9,10,Phoenix,1.09, 17.2  /  15.8  /  4.7 ,50.4%,3.2%,236,0.2%,"6,406"
10,11,Sage,0.97, 14.7  /  15.2  /  7.1 ,49.7%,2.7%,200,0.1%,"5,428"
11,12,Deadlock,1.02, 15.5  /  15.2  /  3.6 ,49.6%,2.6%,228,0.1%,"5,346"
12,13,Breach,0.94, 14.5  /  15.4  /  8.1 ,49.9%,2.6%,198,0.1%,"5,341"
13,14,Brimstone,0.97, 14.5  /  14.9  /  9.9 ,52.1%,2.3%,204,0.1%,"4,733"
14,15,Astra,1.05, 15.4  /  14.7  /  7.5 ,50.4%,1.8%,205,0.1%,"3,660"
15,16,Fade,0.99, 14.8  /  15  /  6.7 ,48.3%,1.1%,201,0.1%,"2,239"
16,17,Yoru,1, 16.1  /  16  /  4.6 ,47.7%,0.9%,219,0.2%,"1,797"
17,18,KAY/O,0.95, 15  /  15.7  /  9.7 ,45.2%,0.7%,210,0.1%,"1,471"
18,19,Neon,0.98, 16  /  16.4  /  4 ,49.0%,0.5%,222,0.2%,922
19,20,Gekko,0.97, 14.4  /  14.9  /  5.1 ,51.9%,0.4%,196,0.1%,863
20,21,Viper,1.04, 15.5  /  14.8  /  5.7 ,51.3%,0.1%,211,234,
21,22,Harbor,0.92, 14.8  /  16.1  /  6.5 ,41.4%,0.1%,194,116,
