,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.17, 17.6  /  15.1  /  4.4 ,50.6%,11.7%,250,0.1%,"1,051,760"
1,2,Sage,0.9, 13.1  /  14.6  /  6.5 ,50.1%,11.2%,186,0.1%,"1,009,925"
2,3,Raze,1.05, 16.1  /  15.4  /  4.8 ,50.2%,8.5%,238,0.1%,"767,677"
3,4,Omen,0.97, 14.5  /  14.9  /  5.7 ,48.5%,7.2%,205,0.1%,"647,677"
4,5,Jett,1.09, 16.8  /  15.3  /  3.8 ,49.5%,7.0%,237,0.1%,"631,898"
5,6,Brimstone,0.97, 14.2  /  14.6  /  7 ,50.5%,6.8%,204,0.1%,"617,039"
6,7,Killjoy,0.97, 13.6  /  14.1  /  3.9 ,50.7%,6.0%,196,0.1%,"538,527"
7,8,Skye,0.91, 13.5  /  14.8  /  7.1 ,49.2%,5.8%,193,0.1%,"519,008"
8,9,Gekko,0.91, 13.6  /  14.9  /  4.6 ,49.5%,4.3%,191,0.1%,"390,126"
9,10,Cypher,0.97, 13.9  /  14.2  /  4.8 ,49.2%,3.9%,194,0.1%,"350,267"
10,11,Phoenix,1.09, 16.3  /  15  /  4.4 ,49.9%,3.8%,234,0.1%,"343,788"
11,12,Sova,0.95, 13.9  /  14.6  /  5.1 ,49.1%,3.4%,200,0.1%,"309,135"
12,13,Fade,0.91, 13.6  /  14.9  /  5.9 ,48.9%,3.3%,194,0.1%,"297,616"
13,14,Viper,0.96, 14  /  14.6  /  5.1 ,49.2%,3.3%,200,0.1%,"297,187"
14,15,Chamber,1.06, 15.3  /  14.5  /  3.2 ,48.2%,2.9%,212,0.1%,"260,808"
15,16,KAY/O,0.88, 13.4  /  15.3  /  7.7 ,45.9%,2.5%,197,0.1%,"226,521"
16,17,Yoru,0.98, 15  /  15.3  /  4.3 ,46.5%,2.3%,213,0.1%,"205,610"
17,18,Neon,0.98, 15.6  /  15.8  /  4 ,47.5%,2.2%,223,0.1%,"202,669"
18,19,Breach,0.92, 14  /  15.3  /  5.5 ,48.1%,1.9%,200,0.1%,"171,260"
19,20,Harbor,0.89, 13.3  /  15  /  5.3 ,46.5%,1.0%,189,0.1%,"88,523"
20,21,Astra,1.01, 14.5  /  14.4  /  5.3 ,49.1%,1.0%,204,0.1%,"86,026"
