,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.94, 13.9  /  14.8  /  7.6 ,51.6%,12.5%,196,0.1%,"36,358",Sentinel
1,2,Reyna,1.16, 18.1  /  15.5  /  4.6 ,50.5%,11.3%,252,0.1%,"32,913",Duelist
2,3,Raze,1.08, 17.1  /  15.9  /  5 ,50.2%,9.5%,248,0.1%,"27,628",Duelist
3,4,Jett,1.09, 17.4  /  15.9  /  3.9 ,49.1%,9.4%,243,0.1%,"27,282",Duelist
4,5,Omen,1.0, 15.2  /  15.2  /  6.8 ,48.2%,8.5%,211,0.1%,"24,800",Controller
5,6,Killjoy,1.02, 14.6  /  14.4  /  4.1 ,49.8%,6.6%,206,0.2%,"19,116",Sentinel
6,7,Skye,0.96, 14.4  /  15  /  7.8 ,50.8%,5.1%,202,0.1%,"14,860",Initiator
7,8,Cypher,1.03, 14.8  /  14.5  /  4.9 ,49.4%,5.1%,204,0.2%,"14,826",Sentinel
8,9,Brimstone,0.98, 14.7  /  15  /  8.4 ,50.2%,5.0%,210,0.1%,"14,674",Controller
9,10,Fade,0.96, 14.5  /  15  /  6 ,49.6%,3.7%,201,0.1%,"10,707",Initiator
10,11,KAY/O,0.92, 14.3  /  15.5  /  8.5 ,45.9%,3.5%,205,0.1%,"10,338",Initiator
11,12,Phoenix,1.13, 17.2  /  15.2  /  4.7 ,51.5%,3.1%,244,0.1%,"9,107",Duelist
12,13,Viper,1.0, 14.8  /  14.8  /  5.5 ,48.7%,3.0%,206,0.1%,"8,624",Controller
13,14,Breach,0.95, 14.6  /  15.4  /  6.4 ,47.0%,2.9%,204,0.1%,"8,483",Initiator
14,15,Sova,1.01, 14.9  /  14.9  /  5.3 ,50.1%,2.8%,210,0.1%,"8,213",Initiator
15,16,Astra,1.06, 15.4  /  14.5  /  6.4 ,51.0%,2.4%,212,0.2%,"6,915",Controller
16,17,Chamber,1.09, 16.4  /  15.1  /  3.2 ,48.4%,2.2%,224,0.1%,"6,366",Sentinel
17,18,Neon,0.99, 16  /  16.3  /  4.3 ,46.3%,1.5%,227,0.1%,"4,240",Duelist
18,19,Yoru,1.02, 15.8  /  15.5  /  4.4 ,46.8%,1.3%,221,0.1%,"3,853",Duelist
19,20,Harbor,0.93, 14.2  /  15.2  /  5.6 ,44.8%,0.8%,198,0.1%,"2,231",Controller
