,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.3  /  16.1  /  3.7 ,49.0%,13.2%,237,0.1%,"493,944",Duelist
1,2,Omen,0.98, 14.9  /  15.2  /  7.8 ,49.1%,10.6%,203,0.1%,"395,870",Controller
2,3,Raze,1.05, 16.9  /  16  /  4.8 ,50.0%,9.1%,241,0.1%,"342,054",Duelist
3,4,Killjoy,1.04, 14.9  /  14.4  /  3.6 ,50.5%,8.9%,203,0.1%,"334,150",Sentinel
4,5,Reyna,1.13, 17.7  /  15.8  /  4.4 ,49.7%,8.8%,242,0.1%,"328,878",Duelist
5,6,Skye,0.95, 14.4  /  15.2  /  8.4 ,49.4%,6.6%,197,0.1%,"248,436",Initiator
6,7,Gekko,0.95, 14.3  /  15.1  /  4.9 ,49.5%,6.1%,192,0.1%,"226,735",Initiator
7,8,Chamber,1.1, 16.6  /  15.1  /  2.8 ,48.8%,5.8%,221,0.1%,"218,594",Sentinel
8,9,Breach,0.94, 14.4  /  15.4  /  7.6 ,48.9%,5.4%,198,0.1%,"202,890",Initiator
9,10,Sage,0.94, 14.2  /  15.1  /  7.1 ,50.7%,3.8%,195,0.1%,"143,793",Sentinel
10,11,Brimstone,0.98, 14.6  /  15  /  9.3 ,51.6%,3.0%,205,0.1%,"114,188",Controller
11,12,Cypher,1.01, 14.9  /  14.8  /  4.6 ,48.5%,2.7%,201,0.1%,"102,868",Sentinel
12,13,Harbor,0.93, 14.2  /  15.3  /  6.4 ,46.6%,2.6%,193,0.1%,"97,434",Controller
13,14,Astra,1.03, 15.2  /  14.7  /  6.8 ,49.7%,2.3%,205,0.1%,"87,581",Controller
14,15,Fade,0.96, 14.6  /  15.2  /  6.6 ,48.6%,2.2%,199,0.1%,"81,414",Initiator
15,16,Phoenix,1.1, 17.2  /  15.6  /  4.7 ,50.3%,2.2%,237,0.1%,"80,739",Duelist
16,17,Viper,1.03, 15.2  /  14.8  /  6 ,49.5%,1.6%,210,0.1%,"58,175",Controller
17,18,KAY/O,0.92, 14.4  /  15.7  /  9.7 ,44.3%,1.5%,204,0.1%,"57,829",Initiator
18,19,Neon,0.98, 16.3  /  16.6  /  4.3 ,47.3%,1.3%,226,0.1%,"49,360",Duelist
19,20,Sova,0.99, 14.8  /  15  /  5.8 ,48.1%,1.2%,205,0.1%,"46,361",Initiator
20,21,Yoru,0.99, 15.8  /  15.9  /  4.5 ,46.2%,1.0%,217,0.1%,"35,963",Duelist
