,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 18.1  /  15.5  /  4.5 ,50.3%,11.9%,251,0.1%,"981,745"
1,2,Jett,1.12, 17.5  /  15.7  /  3.8 ,49.7%,11.9%,244,0.1%,"980,588"
2,3,Omen,0.99, 15  /  15.1  /  7.1 ,49.0%,10.8%,208,0.1%,"890,749"
3,4,Sage,0.92, 13.7  /  14.8  /  7 ,50.1%,9.5%,191,0.1%,"786,559"
4,5,Killjoy,1, 14.3  /  14.4  /  3.7 ,50.1%,6.6%,200,0.1%,"542,753"
5,6,Sova,1.01, 14.7  /  14.6  /  5.5 ,50.1%,5.9%,207,0.1%,"485,987"
6,7,Raze,1.06, 16.6  /  15.7  /  4.7 ,49.7%,5.6%,240,0.1%,"462,945"
7,8,Brimstone,0.97, 14.4  /  14.8  /  8.4 ,50.9%,5.4%,206,0.1%,"446,252"
8,9,Skye,0.95, 14.2  /  15.1  /  7.5 ,49.3%,4.9%,200,0.1%,"407,873"
9,10,Phoenix,1.13, 17.4  /  15.4  /  4.6 ,50.9%,3.8%,244,0.1%,"318,295"
10,11,Chamber,1.08, 16  /  14.8  /  3 ,48.5%,3.5%,218,0.1%,"289,991"
11,12,Gekko,0.94, 14.1  /  15.1  /  5 ,49.6%,3.3%,196,0.1%,"276,164"
12,13,Cypher,1.01, 14.7  /  14.5  /  4.8 ,49.2%,3.3%,201,0.1%,"274,163"
13,14,Breach,0.95, 14.5  /  15.4  /  6.5 ,48.8%,2.7%,204,0.1%,"223,293"
14,15,Fade,0.95, 14.3  /  15.1  /  6.5 ,49.3%,2.4%,201,0.1%,"201,151"
15,16,KAY/O,0.92, 14.2  /  15.5  /  8.7 ,46.0%,2.4%,204,0.1%,"195,592"
16,17,Astra,1.03, 15.1  /  14.6  /  6.3 ,49.3%,1.5%,207,0.1%,"124,181"
17,18,Neon,0.99, 16.1  /  16.2  /  4.1 ,47.6%,1.4%,227,0.1%,"119,789"
18,19,Yoru,1.01, 15.8  /  15.6  /  4.5 ,47.1%,1.4%,220,0.1%,"112,163"
19,20,Viper,0.98, 14.4  /  14.8  /  5.6 ,48.0%,1.3%,203,0.1%,"110,854"
20,21,Harbor,0.91, 13.9  /  15.3  /  6 ,44.9%,0.5%,195,0.1%,"42,541"
