,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.14, 17.1  /  15.1  /  4.4 ,50.4%,11.4%,243,0.2%,"460,983"
1,2,Sage,0.88, 12.8  /  14.6  /  6.5 ,50.1%,9.9%,183,0.1%,"400,260"
2,3,Raze,1.02, 15.7  /  15.4  /  4.9 ,50.1%,8.2%,232,0.2%,"331,143"
3,4,Omen,0.96, 14.3  /  14.9  /  5.8 ,48.3%,7.2%,202,0.1%,"291,495"
4,5,Brimstone,0.95, 13.9  /  14.5  /  7 ,50.8%,7.0%,200,0.1%,"281,955"
5,6,Skye,0.9, 13.2  /  14.8  /  7.1 ,49.2%,6.6%,190,0.1%,"266,658"
6,7,Jett,1.06, 16.2  /  15.3  /  3.8 ,49.2%,6.2%,230,0.2%,"249,696"
7,8,Deadlock,0.95, 14  /  14.8  /  4 ,49.3%,5.0%,204,0.1%,"201,425"
8,9,Killjoy,0.95, 13.4  /  14  /  3.9 ,51.1%,4.9%,193,0.1%,"199,484"
9,10,Cypher,0.96, 13.6  /  14.2  /  4.7 ,49.0%,3.9%,191,0.1%,"160,085"
10,11,Gekko,0.89, 13.3  /  14.9  /  4.6 ,49.6%,3.9%,188,0.1%,"157,079"
11,12,Phoenix,1.06, 15.8  /  15  /  4.4 ,49.7%,3.6%,228,0.2%,"147,031"
12,13,Viper,0.95, 13.8  /  14.5  /  5.1 ,49.7%,3.0%,197,0.1%,"119,950"
13,14,Sova,0.93, 13.6  /  14.6  /  5.1 ,48.5%,2.9%,196,0.1%,"118,863"
14,15,Chamber,1.04, 15.1  /  14.5  /  3.2 ,48.5%,2.9%,209,0.2%,"117,743"
15,16,Fade,0.9, 13.3  /  14.9  /  6 ,49.2%,2.9%,191,0.1%,"117,156"
16,17,Yoru,0.97, 14.7  /  15.2  /  4.1 ,46.2%,2.4%,210,0.2%,"97,875"
17,18,Neon,0.97, 15.3  /  15.7  /  4 ,47.8%,2.3%,220,0.2%,"92,063"
18,19,KAY/O,0.86, 13.2  /  15.3  /  7.6 ,45.9%,2.2%,193,0.1%,"87,879"
19,20,Breach,0.91, 13.9  /  15.2  /  5.5 ,48.2%,2.0%,199,0.1%,"82,894"
20,21,Astra,0.99, 14.3  /  14.4  /  5.3 ,48.4%,0.9%,201,0.1%,"37,708"
21,22,Harbor,0.88, 13.2  /  15  /  5.3 ,46.4%,0.8%,188,0.1%,"34,061"
