,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.4  /  16.1  /  3.7 ,48.9%,15.0%,238,0.1%,"9,806"
1,2,Reyna,1.14, 17.9  /  15.7  /  4.5 ,50.2%,9.7%,246,0.1%,"6,341"
2,3,Fade,0.98, 14.8  /  15.1  /  6.8 ,50.2%,9.0%,204,0.1%,"5,863"
3,4,Gekko,0.97, 14.7  /  15.1  /  5.6 ,50.8%,7.6%,197,0.1%,"4,971"
4,5,Astra,1.03, 15.2  /  14.7  /  7.1 ,49.2%,7.1%,205,0.2%,"4,632"
5,6,Cypher,1.03, 15.2  /  14.8  /  4.8 ,49.2%,6.9%,205,0.1%,"4,527"
6,7,Viper,1.03, 15.4  /  14.9  /  6.5 ,49.6%,6.4%,212,0.1%,"4,167"
7,8,Killjoy,1.03, 14.9  /  14.5  /  3.9 ,50.2%,6.1%,205,0.2%,"3,996"
8,9,Sage,0.96, 14.2  /  14.9  /  7.1 ,50.5%,4.8%,198,0.1%,"3,111"
9,10,Phoenix,1.09, 17.3  /  15.8  /  5.1 ,51.6%,4.7%,242,0.1%,"3,086"
10,11,Raze,1.05, 16.9  /  16.1  /  5 ,49.9%,3.8%,242,0.1%,"2,458"
11,12,Harbor,0.9, 13.9  /  15.3  /  6.7 ,47.6%,3.5%,188,0.1%,"2,291"
12,13,KAY/O,0.92, 14.5  /  15.7  /  9.2 ,43.8%,3.0%,207,0.1%,"1,951"
13,14,Skye,0.97, 14.8  /  15.4  /  8 ,47.0%,2.8%,203,0.1%,"1,855"
14,15,Brimstone,0.95, 14.3  /  15.1  /  9.1 ,48.2%,2.4%,201,0.1%,"1,584"
15,16,Chamber,1.1, 16.4  /  14.9  /  2.9 ,48.4%,2.4%,218,0.1%,"1,545"
16,17,Sova,1.04, 15.1  /  14.6  /  6.1 ,51.5%,1.2%,208,0.1%,818
17,18,Omen,0.93, 14.2  /  15.3  /  7.6 ,44.4%,1.1%,198,0.1%,737
18,19,Neon,0.97, 16  /  16.6  /  4.3 ,42.4%,1.1%,222,0.1%,695
19,20,Yoru,1.04, 16.1  /  15.5  /  4.5 ,50.3%,1.0%,226,0.1%,674
20,21,Breach,0.9, 14.3  /  15.9  /  7.4 ,42.5%,0.6%,197,0.1%,369
