,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.7  /  16.2  /  3.3 ,50.8%,16.6%,238,0.2%,"20,530",Duelist
1,2,Omen,0.99, 15  /  15.2  /  9 ,49.6%,14.9%,202,0.1%,"18,464",Controller
2,3,Raze,1.06, 17.1  /  16.1  /  4.5 ,51.3%,11.5%,241,0.2%,"14,182",Duelist
3,4,Killjoy,1.05, 15.4  /  14.6  /  3.2 ,51.3%,10.5%,206,0.1%,"13,004",Sentinel
4,5,Skye,0.96, 14.4  /  15.1  /  9.1 ,49.5%,9.1%,194,0.1%,"11,195",Initiator
5,6,Reyna,1.12, 17.6  /  15.7  /  4.2 ,49.7%,7.0%,238,0.2%,"8,626",Duelist
6,7,Chamber,1.11, 16.8  /  15.2  /  2.4 ,47.8%,6.6%,220,0.2%,"8,207",Sentinel
7,8,Breach,0.93, 14.1  /  15.2  /  8.3 ,48.7%,5.8%,192,0.1%,"7,191",Initiator
8,9,Gekko,0.99, 14.8  /  15  /  4.8 ,49.9%,3.3%,195,0.1%,"4,133",Initiator
9,10,Deadlock,1.06, 16  /  15  /  3.7 ,52.3%,2.2%,209,0.1%,"2,762",Sentinel
10,11,Astra,1.05, 15.4  /  14.7  /  7.6 ,50.5%,2.1%,204,0.1%,"2,547",Controller
11,12,Cypher,1.03, 15.4  /  14.9  /  4.4 ,49.4%,1.5%,203,0.1%,"1,911",Sentinel
12,13,Fade,0.99, 14.9  /  15  /  7.3 ,49.3%,1.3%,202,0.1%,"1,584",Initiator
13,14,Brimstone,0.99, 14.6  /  14.8  /  10.6 ,50.5%,1.2%,205,0.1%,"1,523",Controller
14,15,Phoenix,1.14, 17.5  /  15.4  /  4.6 ,52.3%,1.0%,239,0.1%,"1,219",Duelist
15,16,Neon,0.99, 16.7  /  16.9  /  4.2 ,50.9%,1.0%,227,0.2%,"1,204",Duelist
16,17,Viper,1.09, 15.8  /  14.5  /  5.9 ,53.4%,0.9%,215,0.1%,"1,174",Controller
17,18,Sova,1.06, 15.3  /  14.5  /  6.4 ,53.8%,0.9%,213,0.1%,"1,059",Initiator
18,19,Sage,1.03, 15.3  /  14.9  /  6.8 ,56.5%,0.8%,207,0.1%,"1,038",Sentinel
19,20,Yoru,1.03, 16.4  /  16  /  4.5 ,51.7%,0.8%,222,0.2%,"1,028",Duelist
20,21,Harbor,0.97, 14.6  /  15.1  /  7.1 ,45.7%,0.6%,198,0.1%,709,Controller
21,22,KAY/O,0.97, 15  /  15.5  /  10.3 ,48.6%,0.2%,209,0.1%,292,Initiator
