,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.19, 18.1  /  15.2  /  4.3 ,50.5%,11.8%,253,0.2%,"487,257",Duelist
1,2,Raze,1.08, 16.8  /  15.6  /  4.8 ,50.1%,9.5%,245,0.2%,"390,485",Duelist
2,3,Brimstone,0.99, 14.4  /  14.6  /  7.6 ,51.0%,8.1%,206,0.1%,"333,209",Controller
3,4,Sage,0.91, 13.4  /  14.7  /  6.6 ,50.4%,7.9%,189,0.1%,"324,051",Sentinel
4,5,Jett,1.11, 17.3  /  15.5  /  3.7 ,49.3%,7.8%,241,0.2%,"320,468",Duelist
5,6,Skye,0.94, 14  /  14.9  /  7.2 ,49.3%,7.3%,196,0.1%,"300,746",Initiator
6,7,Omen,0.99, 14.8  /  15  /  6.3 ,48.1%,6.8%,207,0.1%,"281,314",Controller
7,8,Deadlock,0.99, 14.7  /  14.9  /  3.9 ,48.7%,5.3%,209,0.1%,"217,777",Sentinel
8,9,Killjoy,0.98, 13.9  /  14.2  /  3.8 ,50.1%,4.6%,197,0.1%,"188,533",Sentinel
9,10,Cypher,0.99, 14.2  /  14.3  /  4.7 ,49.2%,4.2%,195,0.1%,"174,294",Sentinel
10,11,Chamber,1.09, 15.9  /  14.6  /  3 ,48.8%,3.5%,217,0.2%,"144,945",Sentinel
11,12,Phoenix,1.12, 16.9  /  15.1  /  4.4 ,50.5%,3.3%,240,0.2%,"135,880",Duelist
12,13,Gekko,0.94, 14  /  15  /  4.6 ,49.3%,2.9%,194,0.1%,"120,956",Initiator
13,14,Sova,0.99, 14.4  /  14.6  /  5.3 ,49.5%,2.8%,204,0.1%,"113,462",Initiator
14,15,Viper,1.0, 14.5  /  14.6  /  5.3 ,48.9%,2.6%,205,0.1%,"107,796",Controller
15,16,Fade,0.94, 14.1  /  14.9  /  6.1 ,49.1%,2.5%,198,0.1%,"101,979",Initiator
16,17,Breach,0.94, 14.4  /  15.4  /  5.8 ,47.5%,2.1%,202,0.1%,"84,475",Initiator
17,18,Yoru,1.03, 15.8  /  15.4  /  4.1 ,46.8%,1.8%,222,0.2%,"76,084",Duelist
18,19,KAY/O,0.91, 14  /  15.4  /  7.9 ,45.7%,1.8%,202,0.1%,"75,588",Initiator
19,20,Neon,1.01, 16.1  /  16  /  4 ,47.2%,1.5%,227,0.2%,"62,056",Duelist
20,21,Astra,1.03, 14.9  /  14.5  /  5.7 ,49.1%,1.2%,206,0.1%,"49,326",Controller
21,22,Harbor,0.91, 13.8  /  15.1  /  5.5 ,45.9%,0.6%,193,0.1%,"26,082",Controller
