,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.21, 18.2  /  15  /  4.6 ,51.0%,12.5%,258,0.1%,"44,282",Duelist
1,2,Sage,0.9, 13  /  14.5  /  6.9 ,49.7%,10.6%,187,0.1%,"37,641",Sentinel
2,3,Jett,1.12, 17.2  /  15.4  /  4 ,49.6%,7.9%,244,0.1%,"28,039",Duelist
3,4,Brimstone,0.99, 14.4  /  14.5  /  7.7 ,51.3%,7.6%,208,0.1%,"26,868",Controller
4,5,Killjoy,1.0, 14  /  14.1  /  4.2 ,50.7%,7.4%,202,0.2%,"26,326",Sentinel
5,6,Raze,1.05, 16.2  /  15.4  /  4.9 ,49.6%,6.4%,238,0.1%,"22,697",Duelist
6,7,Breach,0.95, 14.3  /  15.1  /  6.2 ,49.0%,6.3%,204,0.1%,"22,355",Initiator
7,8,Omen,0.98, 14.4  /  14.8  /  5.8 ,47.8%,5.0%,206,0.1%,"17,759",Controller
8,9,Fade,0.95, 14  /  14.8  /  6.2 ,50.2%,4.3%,200,0.1%,"15,103",Initiator
9,10,Viper,0.97, 14.1  /  14.5  /  5.4 ,49.1%,4.2%,202,0.2%,"15,008",Controller
10,11,Skye,0.93, 13.7  /  14.8  /  7.2 ,49.2%,4.0%,197,0.1%,"14,347",Initiator
11,12,Neon,1.05, 16.4  /  15.7  /  4.3 ,50.0%,3.7%,236,0.1%,"13,078",Duelist
12,13,Phoenix,1.13, 16.8  /  14.9  /  4.6 ,51.4%,3.5%,241,0.1%,"12,273",Duelist
13,14,Cypher,0.98, 14  /  14.3  /  5 ,48.1%,3.4%,198,0.1%,"12,187",Sentinel
14,15,KAY/O,0.9, 13.7  /  15.2  /  8.3 ,45.5%,3.4%,202,0.1%,"11,951",Initiator
15,16,Sova,0.95, 14.1  /  14.7  /  5.3 ,47.1%,2.8%,203,0.1%,"10,056",Initiator
16,17,Chamber,1.09, 16  /  14.7  /  3.4 ,49.2%,2.7%,222,0.1%,"9,659",Sentinel
17,18,Yoru,1.0, 15.2  /  15.2  /  4.4 ,47.2%,1.9%,217,0.1%,"6,773",Duelist
18,19,Harbor,0.89, 13.4  /  15  /  5.7 ,47.3%,1.2%,191,0.1%,"4,302",Controller
19,20,Astra,1.04, 14.8  /  14.3  /  5.6 ,50.5%,1.0%,209,0.1%,"3,663",Controller
