,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.86, 12.4  /  14.3  /  6.7 ,49.7%,12.0%,180,0.1%,"777,259",Sentinel
1,2,Reyna,1.14, 16.8  /  14.8  /  4.7 ,50.3%,11.5%,243,0.1%,"748,928",Duelist
2,3,Raze,0.99, 15  /  15.1  /  4.9 ,49.4%,6.8%,225,0.1%,"439,367",Duelist
3,4,Jett,1.06, 15.9  /  15  /  4.1 ,49.8%,6.6%,231,0.1%,"428,357",Duelist
4,5,Omen,0.93, 13.8  /  14.8  /  5.4 ,47.7%,6.4%,198,0.1%,"416,867",Controller
5,6,Brimstone,0.95, 13.6  /  14.4  /  7 ,50.6%,6.2%,201,0.1%,"405,770",Controller
6,7,Killjoy,0.95, 13.2  /  13.9  /  4.2 ,50.6%,6.1%,194,0.1%,"395,263",Sentinel
7,8,Gekko,0.88, 13  /  14.7  /  4.8 ,49.3%,4.8%,186,0.1%,"312,033",Initiator
8,9,Skye,0.88, 12.8  /  14.6  /  7.3 ,48.9%,4.6%,187,0.1%,"299,844",Initiator
9,10,Phoenix,1.04, 15.3  /  14.7  /  4.5 ,49.2%,4.1%,223,0.1%,"267,857",Duelist
10,11,Breach,0.91, 13.6  /  15  /  5.9 ,49.1%,3.7%,198,0.1%,"238,008",Initiator
11,12,Neon,0.98, 15  /  15.4  /  4.3 ,48.7%,3.6%,220,0.1%,"235,488",Duelist
12,13,Viper,0.92, 13.3  /  14.4  /  5.2 ,49.0%,3.6%,194,0.1%,"233,025",Controller
13,14,Fade,0.88, 12.9  /  14.7  /  6.2 ,48.6%,3.5%,189,0.1%,"225,682",Initiator
14,15,Sova,0.9, 13.1  /  14.5  /  5.2 ,47.7%,3.2%,192,0.1%,"209,235",Initiator
15,16,Cypher,0.94, 13.4  /  14.2  /  4.9 ,49.0%,3.2%,191,0.1%,"208,813",Sentinel
16,17,KAY/O,0.86, 12.9  /  15  /  8 ,46.2%,2.8%,192,0.1%,"184,994",Initiator
17,18,Yoru,0.94, 14.1  /  15  /  4.5 ,46.2%,2.8%,204,0.1%,"184,240",Duelist
18,19,Chamber,1.01, 14.7  /  14.5  /  3.5 ,48.2%,2.5%,208,0.1%,"163,609",Sentinel
19,20,Harbor,0.86, 12.8  /  14.8  /  5.5 ,46.8%,1.2%,185,0.1%,"76,854",Controller
20,21,Astra,0.97, 13.9  /  14.3  /  5.2 ,48.2%,0.7%,198,0.1%,"46,987",Controller
