,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.4  /  16  /  3.8 ,48.8%,12.6%,240,0.1%,"29,005",Duelist
1,2,Reyna,1.13, 17.8  /  15.8  /  4.6 ,50.0%,11.1%,245,0.1%,"25,534",Duelist
2,3,Killjoy,1.0, 14.3  /  14.3  /  3.9 ,50.1%,10.6%,199,0.2%,"24,425",Sentinel
3,4,Omen,0.99, 15  /  15.2  /  8 ,48.5%,9.9%,207,0.1%,"22,816",Controller
4,5,Sova,1.03, 15  /  14.5  /  6 ,50.9%,8.9%,210,0.2%,"20,498",Initiator
5,6,Sage,0.93, 13.8  /  14.8  /  7.2 ,50.9%,7.6%,192,0.1%,"17,656",Sentinel
6,7,Raze,1.04, 16.7  /  16  /  5 ,49.4%,5.9%,241,0.1%,"13,553",Duelist
7,8,Brimstone,0.96, 14.4  /  15  /  9.3 ,50.6%,5.6%,205,0.1%,"12,993",Controller
8,9,KAY/O,0.94, 14.5  /  15.5  /  8.8 ,46.4%,4.3%,205,0.1%,"10,032",Initiator
9,10,Phoenix,1.12, 17.5  /  15.7  /  4.8 ,50.8%,3.5%,245,0.1%,"8,113",Duelist
10,11,Fade,0.95, 14.4  /  15.1  /  6.5 ,49.3%,3.5%,199,0.1%,"8,090",Initiator
11,12,Skye,0.94, 14.3  /  15.1  /  7.6 ,50.0%,3.2%,200,0.1%,"7,488",Initiator
12,13,Cypher,1.0, 14.4  /  14.4  /  5 ,48.9%,3.1%,198,0.2%,"7,104",Sentinel
13,14,Chamber,1.1, 16.6  /  15.1  /  3 ,48.2%,2.3%,225,0.1%,"5,378",Sentinel
14,15,Astra,1.06, 15.6  /  14.7  /  7.4 ,49.5%,2.2%,212,0.1%,"5,002",Controller
15,16,Breach,0.93, 14.4  /  15.5  /  6.7 ,47.1%,1.6%,201,0.1%,"3,789",Initiator
16,17,Viper,0.99, 14.4  /  14.6  /  5.7 ,47.2%,1.4%,202,0.2%,"3,139",Controller
17,18,Neon,0.98, 16  /  16.4  /  4.1 ,46.7%,1.2%,224,0.1%,"2,733",Duelist
18,19,Yoru,1.02, 16  /  15.7  /  4.4 ,46.6%,1.0%,219,0.1%,"2,378",Duelist
19,20,Harbor,0.92, 13.9  /  15.1  /  6 ,43.0%,0.6%,195,0.1%,"1,280",Controller
