,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.18, 17.5  /  14.8  /  4.7 ,51.2%,12.0%,251,0.1%,"874,622"
1,2,Sage,0.89, 12.8  /  14.4  /  6.8 ,50.1%,11.4%,185,0.1%,"829,397"
2,3,Jett,1.1, 16.6  /  15.1  /  4.1 ,50.5%,7.0%,238,0.1%,"511,677"
3,4,Brimstone,0.98, 14  /  14.4  /  7.2 ,51.3%,6.8%,205,0.1%,"498,593"
4,5,Raze,1.02, 15.5  /  15.1  /  4.9 ,49.7%,6.6%,231,0.1%,"481,374"
5,6,Killjoy,0.98, 13.6  /  14  /  4.2 ,50.8%,6.4%,198,0.1%,"468,910"
6,7,Omen,0.96, 14.2  /  14.8  /  5.6 ,48.0%,6.3%,202,0.1%,"460,715"
7,8,Skye,0.9, 13.2  /  14.6  /  7.3 ,49.1%,4.6%,192,0.1%,"338,472"
8,9,Gekko,0.91, 13.4  /  14.7  /  4.8 ,49.8%,4.6%,191,0.1%,"332,111"
9,10,Breach,0.94, 14  /  15  /  6 ,49.6%,4.2%,202,0.1%,"305,547"
10,11,Phoenix,1.08, 15.9  /  14.7  /  4.6 ,50.0%,3.9%,231,0.1%,"284,460"
11,12,Viper,0.95, 13.7  /  14.4  /  5.3 ,49.7%,3.5%,198,0.1%,"257,906"
12,13,Neon,1, 15.6  /  15.5  /  4.3 ,49.1%,3.4%,226,0.1%,"249,787"
13,14,Cypher,0.97, 13.8  /  14.2  /  4.9 ,49.2%,3.2%,196,0.1%,"236,767"
14,15,Fade,0.91, 13.3  /  14.7  /  6.2 ,49.2%,3.2%,193,0.1%,"236,341"
15,16,Sova,0.93, 13.5  /  14.6  /  5.3 ,48.1%,2.9%,198,0.1%,"213,551"
16,17,KAY/O,0.89, 13.3  /  15  /  8.1 ,46.9%,2.7%,198,0.1%,"198,924"
17,18,Chamber,1.05, 15.3  /  14.5  /  3.4 ,48.8%,2.6%,215,0.1%,"192,329"
18,19,Yoru,0.97, 14.6  /  15.1  /  4.5 ,46.7%,2.4%,210,0.1%,"177,171"
19,20,Harbor,0.89, 13.2  /  14.8  /  5.5 ,46.9%,1.2%,190,0.1%,"85,295"
20,21,Astra,1, 14.3  /  14.3  /  5.3 ,48.5%,0.8%,204,0.1%,"57,595"
