,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.88, 12.7  /  14.5  /  6.9 ,49.4%,11.8%,184,0.1%,"26,671"
1,2,Reyna,1.17, 17.5  /  15  /  4.7 ,51.8%,11.7%,251,0.1%,"26,490"
2,3,Killjoy,0.97, 13.6  /  14  /  4.3 ,51.1%,7.2%,199,0.2%,"16,257"
3,4,Brimstone,0.97, 14.1  /  14.5  /  7.3 ,50.8%,6.8%,205,0.1%,"15,367"
4,5,Raze,1.02, 15.5  /  15.2  /  5 ,50.0%,6.3%,232,0.1%,"14,161"
5,6,Jett,1.09, 16.5  /  15.1  /  4.1 ,48.9%,6.2%,238,0.1%,"14,065"
6,7,Omen,0.97, 14.4  /  14.8  /  5.7 ,48.5%,5.5%,206,0.1%,"12,469"
7,8,Gekko,0.96, 13.9  /  14.6  /  4.9 ,52.0%,4.5%,198,0.1%,"10,171"
8,9,Breach,0.93, 14  /  15  /  6 ,50.2%,4.5%,203,0.1%,"10,120"
9,10,Viper,0.95, 13.8  /  14.5  /  5.5 ,49.7%,4.1%,199,0.1%,"9,249"
10,11,Fade,0.92, 13.6  /  14.8  /  6.3 ,50.1%,4.0%,196,0.1%,"9,171"
11,12,Skye,0.91, 13.4  /  14.8  /  7.4 ,48.8%,3.9%,195,0.1%,"8,735"
12,13,Neon,1, 15.7  /  15.7  /  4.5 ,49.2%,3.7%,228,0.1%,"8,395"
13,14,Phoenix,1.08, 16.1  /  14.9  /  4.6 ,48.1%,3.6%,233,0.1%,"8,189"
14,15,KAY/O,0.88, 13.3  /  15.1  /  8.2 ,46.3%,3.3%,198,0.1%,"7,423"
15,16,Cypher,0.97, 13.7  /  14.1  /  5 ,49.1%,3.3%,196,0.1%,"7,380"
16,17,Sova,0.95, 13.8  /  14.6  /  5.4 ,48.5%,3.0%,201,0.1%,"6,800"
17,18,Yoru,0.98, 14.9  /  15.2  /  4.5 ,46.3%,2.4%,212,0.1%,"5,500"
18,19,Chamber,1.04, 15.2  /  14.5  /  3.5 ,48.8%,2.2%,214,0.1%,"5,036"
19,20,Harbor,0.88, 13.2  /  15.1  /  5.6 ,45.2%,1.3%,190,0.1%,"2,905"
20,21,Astra,1.03, 14.5  /  14.2  /  5.5 ,51.5%,0.9%,206,0.1%,"1,944"
