,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Viper,1.06, 16.2  /  15.3  /  6.3 ,54.1%,18.4%,215,0.1%,706
1,2,Jett,1.09, 18.5  /  17  /  3.6 ,47.6%,17.0%,245,0.1%,651
2,3,Sova,0.99, 15.1  /  15.2  /  5.6 ,47.2%,14.6%,203,0.2%,562
3,4,Killjoy,1.1, 15.9  /  14.5  /  2.9 ,54.4%,11.2%,211,0.2%,430
4,5,Gekko,0.99, 15.4  /  15.4  /  5.1 ,51.9%,10.2%,203,0.1%,391
5,6,Reyna,1.15, 19.4  /  16.8  /  4.3 ,49.6%,9.7%,257,0.1%,373
6,7,Sage,0.97, 14.6  /  15  /  7.1 ,50.8%,8.6%,199,0.2%,331
7,8,Raze,1.01, 17.4  /  17.2  /  4.5 ,55.3%,3.2%,244,0.1%,123
8,9,Harbor,1.14, 17.5  /  15.3  /  7.2 ,66.2%,1.8%,231,0.2%,71
9,10,KAY/O,1.04, 16.5  /  15.9  /  11.1 ,35.2%,1.4%,225,0.1%,54
10,11,Yoru,1.15, 20.2  /  17.6  /  4.7 ,55.3%,1.0%,249,0.1%,38
11,12,Chamber,1.14, 17.8  /  15.6  /  2.7 ,35.3%,0.9%,235,0.1%,34
12,13,Neon,1.18, 18.7  /  15.9  /  3.8 ,31.3%,0.4%,258,0.1%,16
13,14,Skye,0.71, 12.1  /  17.1  /  6.2 ,15.4%,0.3%,173,0.1%,13
14,15,Cypher,0.75, 10.8  /  14.3  /  3.2 ,41.7%,0.3%,158,0.2%,12
15,16,Brimstone,0.68, 8.8  /  12.9  /  4.4 ,22.2%,0.2%,160,0.1%,9
16,17,Phoenix,1.23, 18.6  /  15.1  /  2.9 ,44.4%,0.2%,264,0.1%,9
17,18,Fade,1.22, 17.6  /  14.4  /  4.3 ,66.7%,0.2%,254,0.1%,9
18,19,Omen,1.16, 16  /  13.8  /  6.5 ,50.0%,0.1%,213,4,
19,20,Breach,1.14, 16.5  /  14.5  /  9 ,50.0%,0.1%,219,2,
