,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Chamber,1.09, 16.2  /  14.8  /  3.2 ,50.2%,12.6%,222,0.2%,"2,422,194"
1,2,Reyna,1.14, 17.7  /  15.5  /  4 ,51.2%,11.1%,247,0.2%,"2,143,683"
2,3,Sage,0.91, 13.4  /  14.8  /  6.6 ,50.7%,9.8%,189,0.1%,"1,888,428"
3,4,Jett,1.08, 17  /  15.8  /  3.7 ,49.6%,9.0%,239,0.2%,"1,728,288"
4,5,Viper,0.97, 14.2  /  14.6  /  5.4 ,50.5%,6.3%,199,0.1%,"1,213,902"
5,6,Raze,1.03, 16.3  /  15.8  /  4.8 ,51.0%,6.1%,237,0.2%,"1,172,949"
6,7,Omen,0.96, 14.6  /  15.2  /  5.4 ,49.1%,6.0%,202,0.1%,"1,152,090"
7,8,Brimstone,0.95, 14.2  /  14.9  /  6.8 ,51.8%,5.7%,201,0.1%,"1,104,405"
8,9,Fade,0.93, 14  /  15  /  6.4 ,50.5%,5.4%,196,0.1%,"1,034,994"
9,10,Sova,0.96, 14.2  /  14.7  /  5.5 ,50.3%,4.7%,201,0.1%,"910,095"
10,11,Skye,0.94, 14.2  /  15.1  /  6.1 ,50.2%,4.1%,199,0.1%,"792,591"
11,12,KAY/O,0.9, 13.9  /  15.5  /  7.4 ,47.1%,3.9%,199,0.1%,"750,669"
12,13,Phoenix,1.11, 17  /  15.3  /  3.9 ,50.9%,3.4%,241,0.2%,"650,097"
13,14,Killjoy,0.96, 13.7  /  14.3  /  3.9 ,51.0%,3.0%,196,0.1%,"573,852"
14,15,Breach,0.92, 14.2  /  15.4  /  5.5 ,47.8%,2.4%,199,0.1%,"467,466"
15,16,Neon,0.99, 16  /  16.2  /  4 ,50.1%,2.4%,227,0.2%,"458,745"
16,17,Yoru,0.98, 15.4  /  15.8  /  3.7 ,46.6%,1.5%,214,0.1%,"292,332"
17,18,Cypher,0.96, 14  /  14.6  /  4.4 ,48.7%,1.4%,193,0.1%,"261,579"
18,19,Astra,1.01, 14.7  /  14.6  /  5.2 ,47.8%,1.3%,202,0.1%,"245,718"
