,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.8, 11.6  /  14.5  /  6.3 ,49.9%,13.8%,170,0.1%,"25,629",Sentinel
1,2,Reyna,1.03, 15.3  /  15  /  4.5 ,49.4%,11.2%,223,0.1%,"20,808",Duelist
2,3,Omen,0.89, 13.2  /  14.8  /  5.1 ,49.5%,7.2%,190,0.1%,"13,309",Controller
3,4,Raze,0.93, 13.9  /  15  /  4.6 ,48.6%,7.2%,209,0.1%,"13,273",Duelist
4,5,Jett,0.96, 14.5  /  15.1  /  3.9 ,48.5%,6.6%,211,0.1%,"12,255",Duelist
5,6,Killjoy,0.88, 12.3  /  14.1  /  4.1 ,50.6%,5.7%,182,0.2%,"10,567",Sentinel
6,7,Fade,0.81, 12.1  /  14.8  /  6 ,48.8%,5.2%,178,0.1%,"9,601",Initiator
7,8,Sova,0.86, 12.6  /  14.7  /  5 ,48.6%,5.0%,184,0.1%,"9,229",Initiator
8,9,Phoenix,0.94, 14  /  14.9  /  4.3 ,47.0%,4.6%,205,0.1%,"8,573",Duelist
9,10,Yoru,0.88, 13.2  /  15  /  4.1 ,47.2%,4.2%,192,0.1%,"7,866",Duelist
10,11,Neon,0.87, 13.5  /  15.5  /  4 ,46.9%,4.2%,199,0.1%,"7,740",Duelist
11,12,Skye,0.82, 12.1  /  14.8  /  6.9 ,47.7%,4.1%,178,0.1%,"7,618",Initiator
12,13,Brimstone,0.88, 13  /  14.7  /  6.4 ,49.9%,4.1%,190,0.1%,"7,552",Controller
13,14,KAY/O,0.8, 12.1  /  15.1  /  7.8 ,47.5%,3.8%,182,0.1%,"6,964",Initiator
14,15,Viper,0.84, 12.2  /  14.6  /  4.9 ,47.9%,3.7%,180,0.1%,"6,867",Controller
15,16,Cypher,0.89, 12.7  /  14.3  /  5 ,49.2%,3.2%,182,0.1%,"5,844",Sentinel
16,17,Chamber,0.94, 13.6  /  14.4  /  3.4 ,50.1%,2.5%,194,0.1%,"4,598",Sentinel
17,18,Breach,0.86, 13  /  15.1  /  5.4 ,47.7%,1.8%,188,0.1%,"3,335",Initiator
18,19,Harbor,0.81, 12  /  14.8  /  5.2 ,47.5%,1.2%,177,0.1%,"2,143",Controller
19,20,Astra,0.93, 13.2  /  14.2  /  5.1 ,51.8%,0.8%,188,0.2%,"1,496",Controller
