,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.72, 10.1  /  14  /  5.9 ,50.7%,12.5%,150,0.1%,"31,898"
1,2,Reyna,0.95, 13.7  /  14.5  /  4.2 ,49.4%,10.5%,203,0.2%,"26,597"
2,3,Raze,0.88, 12.8  /  14.5  /  4.7 ,50.8%,8.0%,198,0.1%,"20,402"
3,4,Omen,0.83, 12  /  14.4  /  4.6 ,49.7%,6.4%,176,0.1%,"16,226"
4,5,Jett,0.87, 12.6  /  14.6  /  3.6 ,48.3%,6.1%,188,0.2%,"15,561"
5,6,Deadlock,0.81, 11.5  /  14.3  /  3.7 ,48.4%,5.8%,177,0.1%,"14,841"
6,7,Yoru,0.83, 12  /  14.5  /  3.8 ,47.2%,5.0%,176,0.1%,"12,826"
7,8,Gekko,0.74, 10.7  /  14.5  /  4.2 ,49.4%,4.9%,157,0.1%,"12,442"
8,9,Phoenix,0.86, 12.3  /  14.3  /  4 ,48.3%,4.8%,184,0.1%,"12,218"
9,10,Neon,0.79, 11.7  /  14.9  /  3.7 ,47.7%,4.2%,176,0.2%,"10,796"
10,11,Skye,0.76, 10.8  /  14.2  /  6.7 ,50.1%,4.0%,163,0.1%,"10,284"
11,12,Fade,0.72, 10.5  /  14.6  /  5.6 ,48.5%,3.7%,157,0.1%,"9,438"
12,13,Sova,0.76, 10.9  /  14.2  /  4.5 ,48.7%,3.7%,163,0.1%,"9,429"
13,14,Killjoy,0.82, 11.2  /  13.7  /  3.9 ,52.5%,3.7%,168,0.1%,"9,352"
14,15,Brimstone,0.81, 11.4  /  14.2  /  5.6 ,49.0%,3.5%,173,0.1%,"8,848"
15,16,Viper,0.76, 10.8  /  14.3  /  4.5 ,49.4%,3.3%,162,0.1%,"8,477"
16,17,Cypher,0.82, 11.3  /  13.7  /  4.6 ,50.8%,2.6%,164,0.1%,"6,590"
17,18,KAY/O,0.74, 10.8  /  14.6  /  7 ,47.8%,2.4%,164,0.1%,"6,118"
18,19,Chamber,0.84, 11.9  /  14.2  /  3.2 ,46.7%,1.9%,174,0.1%,"4,892"
19,20,Breach,0.82, 11.9  /  14.4  /  4.9 ,49.8%,1.4%,176,0.1%,"3,622"
20,21,Harbor,0.75, 11  /  14.6  /  4.7 ,48.0%,0.8%,162,0.1%,"2,159"
21,22,Astra,0.86, 11.3  /  13.1  /  4.3 ,48.7%,0.6%,170,0.1%,"1,425"
