,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.07, 17.4  /  16.3  /  3.7 ,48.5%,13.1%,239,0.1%,"381,421",Duelist
1,2,Sage,0.97, 14.7  /  15  /  7.5 ,50.8%,11.8%,202,0.1%,"344,551",Sentinel
2,3,Raze,1.05, 17.1  /  16.3  /  5 ,49.8%,11.6%,245,0.1%,"338,597",Duelist
3,4,Omen,1.0, 15.2  /  15.2  /  8.2 ,48.5%,11.2%,208,0.1%,"327,553",Controller
4,5,Skye,0.96, 14.6  /  15.2  /  8.1 ,49.7%,9.8%,201,0.1%,"286,712",Initiator
5,6,Reyna,1.12, 17.8  /  15.8  /  4.4 ,49.6%,7.7%,243,0.1%,"224,305",Duelist
6,7,Cypher,1.02, 15  /  14.7  /  4.6 ,48.3%,5.9%,203,0.1%,"170,843",Sentinel
7,8,Killjoy,1.03, 15  /  14.6  /  3.7 ,48.9%,5.5%,206,0.1%,"161,449",Sentinel
8,9,Astra,1.05, 15.6  /  14.8  /  7.3 ,48.9%,3.9%,211,0.1%,"113,532",Controller
9,10,Brimstone,0.99, 15  /  15.1  /  9.8 ,51.2%,3.3%,212,0.1%,"96,155",Controller
10,11,Chamber,1.08, 16.5  /  15.3  /  2.9 ,46.8%,2.6%,220,0.1%,"75,071",Sentinel
11,12,Breach,0.95, 14.6  /  15.3  /  7.6 ,48.8%,2.2%,201,0.1%,"64,835",Initiator
12,13,Gekko,0.95, 14.6  /  15.3  /  4.8 ,48.4%,2.1%,197,0.1%,"62,254",Initiator
13,14,KAY/O,0.93, 14.6  /  15.7  /  9.3 ,44.6%,2.1%,206,0.1%,"61,757",Initiator
14,15,Phoenix,1.09, 17.1  /  15.7  /  4.8 ,49.4%,1.7%,238,0.1%,"49,524",Duelist
15,16,Fade,0.97, 14.8  /  15.2  /  6.3 ,48.7%,1.5%,203,0.1%,"44,600",Initiator
16,17,Viper,1.04, 15.5  /  14.9  /  5.9 ,48.0%,1.2%,214,0.1%,"36,141",Controller
17,18,Sova,0.99, 14.8  /  15.1  /  5.6 ,46.8%,0.9%,207,0.1%,"25,687",Initiator
18,19,Yoru,1.02, 16  /  15.8  /  4.6 ,46.1%,0.8%,221,0.1%,"24,606",Duelist
19,20,Neon,0.96, 16  /  16.7  /  4.3 ,46.5%,0.5%,222,0.1%,"15,431",Duelist
20,21,Harbor,0.93, 14.4  /  15.4  /  6.4 ,44.6%,0.3%,198,0.1%,"7,524",Controller
