,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Viper,1.11, 16.5  /  14.9  /  5.9 ,45.6%,20.1%,229,0.1%,79.0,Controller
1,2,Jett,1.12, 19.5  /  17.4  /  3.8 ,37.3%,19.0%,259,0.1%,75.0,Duelist
2,3,Gekko,0.91, 13.6  /  14.8  /  5.3 ,61.1%,13.7%,173,0.2%,54.0,Initiator
3,4,Killjoy,1.13, 16.2  /  14.3  /  4.1 ,53.1%,12.4%,215,0.2%,49.0,Sentinel
4,5,Reyna,1.16, 17.3  /  14.8  /  4.5 ,50.0%,11.2%,255,0.1%,44.0,Duelist
5,6,Sage,1.02, 16  /  15.7  /  8.8 ,46.2%,9.9%,208,0.1%,39.0,Sentinel
6,7,Sova,0.98, 15.1  /  15.3  /  6.4 ,23.1%,9.9%,218,0.2%,39.0,Initiator
7,8,Yoru,1.22, 19.5  /  16  /  5.5 ,50.0%,1.5%,265,0.1%,6.0,Duelist
8,9,Harbor,0.89, 12.8  /  14.4  /  4.6 ,60.0%,1.3%,186,0.1%,5.0,Controller
9,10,Chamber,0.71, 10  /  14  /  0 ,0.0%,0.8%,214,3,,Sentinel
10,11,Raze,1.93, 29  /  15  /  3 ,100.0%,0.3%,338,0.1%,1.0,Duelist
