,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.8  /  16.3  /  3.9 ,49.8%,13.1%,246,0.1%,"22,010"
1,2,Viper,1.01, 15.1  /  14.9  /  5.8 ,50.0%,12.9%,208,0.2%,"21,548"
2,3,Sage,0.93, 13.9  /  15  /  7.2 ,50.3%,11.5%,191,0.1%,"19,361"
3,4,Reyna,1.13, 18.2  /  16.1  /  4.3 ,49.3%,10.7%,250,0.1%,"17,940"
4,5,Sova,0.99, 14.7  /  14.9  /  5.4 ,49.3%,9.4%,203,0.2%,"15,815"
5,6,Killjoy,1.02, 14.7  /  14.4  /  3.7 ,50.7%,6.6%,203,0.2%,"10,986"
6,7,Gekko,0.96, 14.6  /  15.2  /  4.8 ,50.5%,6.4%,197,0.1%,"10,744"
7,8,Raze,1.04, 16.9  /  16.2  /  4.7 ,49.0%,5.5%,241,0.1%,"9,187"
8,9,Omen,0.99, 15.4  /  15.7  /  6.1 ,47.1%,3.7%,212,0.1%,"6,272"
9,10,KAY/O,0.94, 14.7  /  15.7  /  9.1 ,45.0%,3.3%,209,0.1%,"5,470"
10,11,Chamber,1.11, 16.6  /  15  /  2.9 ,48.2%,2.7%,224,0.1%,"4,535"
11,12,Fade,0.95, 14.5  /  15.2  /  6.3 ,50.8%,2.4%,201,0.1%,"3,941"
12,13,Skye,0.93, 14.2  /  15.4  /  7.5 ,47.3%,2.2%,198,0.1%,"3,630"
13,14,Brimstone,0.97, 14.7  /  15.2  /  7.3 ,47.9%,1.9%,207,0.1%,"3,122"
14,15,Phoenix,1.09, 17  /  15.7  /  4.3 ,52.8%,1.7%,235,0.1%,"2,856"
15,16,Harbor,0.92, 14  /  15.2  /  6 ,47.1%,1.5%,192,0.1%,"2,559"
16,17,Cypher,0.98, 14.6  /  14.9  /  4.6 ,48.4%,1.3%,200,0.1%,"2,123"
17,18,Neon,0.98, 16.5  /  16.9  /  4.1 ,45.3%,1.1%,229,0.1%,"1,845"
18,19,Yoru,0.99, 15.7  /  15.9  /  4.2 ,46.2%,1.0%,216,0.1%,"1,724"
19,20,Breach,0.93, 14.7  /  15.8  /  6.3 ,50.7%,0.7%,203,0.1%,"1,188"
20,21,Astra,1.02, 15.3  /  14.9  /  5.4 ,47.6%,0.5%,207,0.1%,784
