,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.5  /  16  /  3.8 ,49.3%,13.9%,241,0.1%,"872,120",Duelist
1,2,Omen,0.98, 14.9  /  15.1  /  8.3 ,48.6%,10.9%,205,0.1%,"688,048",Controller
2,3,Killjoy,1.0, 14.4  /  14.3  /  3.8 ,49.4%,10.7%,199,0.1%,"669,569",Sentinel
3,4,Reyna,1.13, 17.8  /  15.8  /  4.6 ,50.2%,10.5%,245,0.1%,"661,191",Duelist
4,5,Sova,1.03, 15  /  14.5  /  6.1 ,50.7%,9.3%,209,0.1%,"582,770",Initiator
5,6,Sage,0.93, 13.9  /  14.9  /  7.2 ,50.5%,6.6%,192,0.1%,"415,066",Sentinel
6,7,Brimstone,0.97, 14.5  /  15  /  9.6 ,51.5%,5.4%,206,0.1%,"341,737",Controller
7,8,Raze,1.03, 16.5  /  16  /  5 ,49.3%,5.3%,238,0.1%,"333,645",Duelist
8,9,KAY/O,0.92, 14.3  /  15.6  /  8.9 ,45.8%,4.2%,202,0.1%,"266,178",Initiator
9,10,Skye,0.94, 14.3  /  15.2  /  7.9 ,48.5%,3.6%,198,0.1%,"225,990",Initiator
10,11,Phoenix,1.12, 17.4  /  15.6  /  4.9 ,51.3%,3.3%,243,0.1%,"209,386",Duelist
11,12,Chamber,1.09, 16.4  /  15.1  /  3 ,48.9%,2.9%,221,0.1%,"183,645",Sentinel
12,13,Cypher,1.0, 14.6  /  14.6  /  5 ,49.5%,2.8%,198,0.1%,"176,849",Sentinel
13,14,Fade,0.96, 14.4  /  15.1  /  6.6 ,49.0%,2.1%,199,0.1%,"134,841",Initiator
14,15,Gekko,0.93, 14.1  /  15.3  /  4.8 ,47.8%,2.1%,193,0.1%,"130,457",Initiator
15,16,Astra,1.04, 15.3  /  14.8  /  7.5 ,50.0%,1.8%,209,0.1%,"111,188",Controller
16,17,Breach,0.93, 14.5  /  15.5  /  6.9 ,47.3%,1.3%,201,0.1%,"84,827",Initiator
17,18,Viper,0.99, 14.6  /  14.8  /  5.8 ,48.5%,1.0%,203,0.1%,"63,313",Controller
18,19,Yoru,1.01, 15.9  /  15.7  /  4.6 ,46.4%,1.0%,219,0.1%,"59,930",Duelist
19,20,Neon,0.97, 15.9  /  16.5  /  4.2 ,46.1%,0.9%,222,0.1%,"54,122",Duelist
20,21,Harbor,0.91, 14.1  /  15.4  /  6.3 ,45.0%,0.3%,194,0.1%,"21,833",Controller
