,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.1, 17.4  /  15.9  /  3.8 ,49.3%,12.9%,241,0.1%,"897,956",Duelist
1,2,Omen,0.98, 14.9  /  15.1  /  7.4 ,48.8%,11.4%,206,0.1%,"791,985",Controller
2,3,Reyna,1.14, 17.8  /  15.7  /  4.5 ,50.0%,11.1%,247,0.1%,"774,379",Duelist
3,4,Sage,0.92, 13.7  /  14.9  /  7.1 ,50.0%,8.7%,191,0.1%,"606,847",Sentinel
4,5,Killjoy,1.0, 14.4  /  14.4  /  3.6 ,50.0%,6.8%,199,0.1%,"472,684",Sentinel
5,6,Sova,1.01, 14.7  /  14.6  /  5.6 ,49.8%,6.6%,206,0.1%,"456,914",Initiator
6,7,Raze,1.05, 16.5  /  15.8  /  4.7 ,49.5%,5.3%,238,0.1%,"367,737",Duelist
7,8,Brimstone,0.96, 14.4  /  14.9  /  8.7 ,50.9%,5.2%,204,0.1%,"360,161",Controller
8,9,Skye,0.94, 14.3  /  15.2  /  7.6 ,49.2%,5.1%,199,0.1%,"357,546",Initiator
9,10,Phoenix,1.12, 17.4  /  15.5  /  4.6 ,50.8%,3.8%,243,0.1%,"261,408",Duelist
10,11,Chamber,1.07, 16  /  15  /  3 ,47.8%,3.7%,217,0.1%,"259,821",Sentinel
11,12,Cypher,1.0, 14.7  /  14.6  /  4.8 ,49.1%,3.5%,201,0.1%,"241,596",Sentinel
12,13,Gekko,0.93, 14.2  /  15.2  /  5 ,49.4%,3.0%,194,0.1%,"208,024",Initiator
13,14,Breach,0.94, 14.5  /  15.4  /  6.8 ,48.8%,2.8%,202,0.1%,"194,985",Initiator
14,15,Fade,0.95, 14.4  /  15.1  /  6.6 ,49.0%,2.3%,200,0.1%,"162,921",Initiator
15,16,KAY/O,0.91, 14.2  /  15.6  /  8.9 ,45.2%,2.2%,204,0.1%,"155,204",Initiator
16,17,Astra,1.02, 15.1  /  14.7  /  6.5 ,49.0%,1.7%,206,0.1%,"115,343",Controller
17,18,Neon,0.97, 16  /  16.4  /  4.1 ,47.2%,1.2%,224,0.1%,"84,283",Duelist
18,19,Yoru,1.01, 15.8  /  15.7  /  4.5 ,46.7%,1.2%,219,0.1%,"82,100",Duelist
19,20,Viper,0.98, 14.5  /  14.8  /  5.7 ,47.6%,1.0%,203,0.1%,"69,383",Controller
20,21,Harbor,0.9, 13.9  /  15.4  /  6.1 ,44.5%,0.4%,193,0.1%,"30,309",Controller
