,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.06, 17.2  /  16.3  /  4.7 ,50.4%,14.8%,243,0.1%,"81,075"
1,2,Brimstone,1, 15  /  15  /  9.2 ,50.2%,14.0%,206,0.1%,"76,631"
2,3,Skye,0.97, 14.7  /  15.1  /  7.8 ,49.9%,13.6%,196,0.1%,"74,473"
3,4,Jett,1.09, 17.7  /  16.2  /  3.4 ,49.6%,13.4%,238,0.1%,"73,646"
4,5,Cypher,1.01, 15  /  14.8  /  4.4 ,49.3%,7.9%,196,0.1%,"43,338"
5,6,Reyna,1.15, 18  /  15.6  /  4.1 ,50.7%,6.0%,243,0.1%,"32,873"
6,7,Chamber,1.09, 16.5  /  15.1  /  2.4 ,48.1%,5.1%,216,0.1%,"27,712"
7,8,Sage,0.97, 14.6  /  15  /  6.9 ,51.6%,4.0%,196,0.1%,"21,786"
8,9,Sova,1.02, 15.1  /  14.8  /  5.8 ,49.3%,3.9%,206,0.1%,"21,510"
9,10,Killjoy,1.04, 15.1  /  14.5  /  3.3 ,50.3%,3.1%,202,0.1%,"17,158"
10,11,Omen,0.99, 15.1  /  15.3  /  7.9 ,46.8%,2.8%,205,0.1%,"15,506"
11,12,Viper,1.07, 15.9  /  14.9  /  5.5 ,50.1%,2.3%,215,0.1%,"12,487"
12,13,Fade,0.99, 14.9  /  15.1  /  6.7 ,50.4%,2.2%,200,0.1%,"12,308"
13,14,Yoru,1.06, 17  /  16.1  /  4.5 ,49.0%,1.6%,230,0.1%,"8,577"
14,15,Phoenix,1.11, 17.5  /  15.7  /  4.5 ,52.2%,1.5%,237,0.1%,"8,116"
15,16,Astra,1.04, 15.5  /  14.8  /  7.3 ,46.7%,1.2%,207,0.1%,"6,560"
16,17,Gekko,0.99, 14.9  /  15.1  /  4.9 ,50.7%,0.9%,197,0.1%,"5,111"
17,18,Harbor,0.93, 14.2  /  15.3  /  6.1 ,43.3%,0.5%,191,0.1%,"2,678"
18,19,Breach,0.95, 14.8  /  15.5  /  8.3 ,48.8%,0.4%,200,0.1%,"2,395"
19,20,KAY/O,0.95, 14.8  /  15.6  /  9.8 ,41.8%,0.4%,207,0.1%,"2,068"
20,21,Neon,0.98, 16.1  /  16.4  /  4.1 ,46.8%,0.4%,220,0.1%,"1,999"
