,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.5  /  15.9  /  3.7 ,49.4%,12.9%,242,0.1%,"27,848"
1,2,Reyna,1.14, 18  /  15.7  /  4.5 ,49.4%,11.1%,249,0.1%,"23,975"
2,3,Omen,0.98, 14.9  /  15.2  /  7.4 ,49.0%,10.8%,206,0.1%,"23,324"
3,4,Sage,0.94, 13.9  /  14.9  /  7.1 ,50.4%,9.1%,194,0.1%,"19,708"
4,5,Sova,1.01, 14.9  /  14.7  /  5.7 ,49.3%,7.2%,208,0.1%,"15,624"
5,6,Killjoy,1.01, 14.5  /  14.3  /  3.7 ,49.8%,6.6%,201,0.2%,"14,231"
6,7,Brimstone,0.96, 14.4  /  14.9  /  8.9 ,50.9%,5.4%,205,0.1%,"11,662"
7,8,Raze,1.05, 16.7  /  15.8  /  4.6 ,49.3%,5.3%,239,0.1%,"11,515"
8,9,Skye,0.96, 14.6  /  15.2  /  7.6 ,49.4%,4.6%,202,0.1%,"9,844"
9,10,Cypher,1.02, 15  /  14.7  /  4.8 ,50.2%,4.2%,202,0.2%,"9,035"
10,11,Phoenix,1.11, 17.3  /  15.6  /  4.7 ,49.3%,4.0%,242,0.1%,"8,749"
11,12,Fade,0.96, 14.6  /  15.1  /  6.5 ,49.2%,3.9%,202,0.1%,"8,375"
12,13,Breach,0.95, 14.7  /  15.5  /  7 ,48.9%,3.2%,204,0.1%,"6,958"
13,14,KAY/O,0.91, 14.3  /  15.6  /  9 ,44.6%,3.1%,205,0.1%,"6,624"
14,15,Chamber,1.08, 16.3  /  15.1  /  3 ,47.7%,2.8%,220,0.1%,"6,038"
15,16,Astra,1.02, 15.1  /  14.8  /  6.6 ,49.5%,2.0%,206,0.2%,"4,422"
16,17,Neon,0.96, 15.9  /  16.6  /  4.1 ,47.5%,1.2%,222,0.1%,"2,668"
17,18,Yoru,1, 15.6  /  15.7  /  4.4 ,47.3%,1.1%,217,0.1%,"2,456"
18,19,Viper,0.98, 14.4  /  14.7  /  5.7 ,48.4%,0.9%,202,0.1%,"2,008"
19,20,Harbor,0.9, 13.9  /  15.4  /  6.1 ,43.0%,0.5%,194,0.1%,"1,136"
