,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.16, 18.1  /  15.6  /  4.7 ,50.8%,11.1%,253,0.1%,"24,261",Duelist
1,2,Jett,1.09, 17.3  /  15.8  /  3.9 ,49.7%,10.2%,241,0.1%,"22,283",Duelist
2,3,Sage,0.9, 13.4  /  14.8  /  7.2 ,50.5%,9.2%,188,0.1%,"20,088",Sentinel
3,4,Viper,0.99, 14.5  /  14.6  /  6.1 ,49.9%,6.4%,204,0.2%,"14,049",Controller
4,5,Fade,0.95, 14.4  /  15.2  /  6.5 ,50.5%,6.4%,201,0.1%,"13,950",Initiator
5,6,Gekko,0.95, 14.2  /  14.9  /  5.3 ,50.3%,5.8%,195,0.2%,"12,726",Initiator
6,7,Killjoy,1.01, 14.3  /  14.2  /  4.1 ,50.3%,5.7%,201,0.2%,"12,474",Sentinel
7,8,Raze,1.04, 16.5  /  15.9  /  5 ,49.1%,4.7%,239,0.1%,"10,377",Duelist
8,9,Cypher,1.0, 14.5  /  14.6  /  5 ,48.6%,4.4%,199,0.1%,"9,613",Sentinel
9,10,Brimstone,0.96, 14.2  /  14.8  /  8.2 ,50.7%,4.1%,203,0.1%,"8,995",Controller
10,11,Skye,0.93, 14.2  /  15.2  /  7.8 ,47.7%,3.9%,200,0.1%,"8,416",Initiator
11,12,Phoenix,1.13, 17.5  /  15.5  /  4.9 ,51.0%,3.8%,245,0.1%,"8,387",Duelist
12,13,Omen,0.95, 14.6  /  15.4  /  6.6 ,47.1%,3.6%,204,0.1%,"7,919",Controller
13,14,KAY/O,0.93, 14.5  /  15.6  /  8.7 ,46.6%,3.5%,207,0.1%,"7,616",Initiator
14,15,Astra,1.04, 15.1  /  14.5  /  6.4 ,51.8%,3.3%,206,0.2%,"7,140",Controller
15,16,Chamber,1.07, 16  /  15  /  3.1 ,46.7%,3.2%,216,0.1%,"7,002",Sentinel
16,17,Harbor,0.9, 13.6  /  15.2  /  6.1 ,46.2%,2.9%,189,0.1%,"6,393",Controller
17,18,Sova,0.97, 14.4  /  14.8  /  5.6 ,47.5%,2.6%,204,0.1%,"5,643",Initiator
18,19,Neon,1.0, 16.6  /  16.6  /  4.4 ,47.5%,2.0%,232,0.1%,"4,474",Duelist
19,20,Breach,0.92, 14.2  /  15.4  /  6.5 ,46.6%,1.6%,201,0.1%,"3,436",Initiator
20,21,Yoru,1.02, 16  /  15.6  /  4.4 ,48.5%,1.5%,223,0.1%,"3,330",Duelist
