,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.6  /  16.2  /  3.5 ,50.9%,19.1%,239,0.1%,"3,365",Duelist
1,2,Omen,0.96, 14.5  /  15.2  /  8.9 ,48.7%,13.3%,197,0.1%,"2,351",Controller
2,3,Sova,1.03, 15.2  /  14.8  /  5.9 ,50.2%,12.9%,207,0.2%,"2,281",Initiator
3,4,Killjoy,1.03, 15.3  /  14.8  /  3.3 ,46.0%,9.9%,207,0.1%,"1,746",Sentinel
4,5,Reyna,1.11, 17.7  /  15.9  /  4.5 ,50.5%,9.1%,241,0.1%,"1,611",Duelist
5,6,Cypher,1.05, 15.5  /  14.7  /  4.7 ,54.9%,6.2%,205,0.2%,"1,085",Sentinel
6,7,Raze,1.04, 16.4  /  15.7  /  4.4 ,49.5%,4.1%,237,0.1%,721,Duelist
7,8,Phoenix,1.15, 17.9  /  15.6  /  5 ,58.0%,4.0%,244,0.1%,709,Duelist
8,9,Skye,0.97, 14.9  /  15.4  /  7.4 ,45.7%,3.3%,203,0.1%,582,Initiator
9,10,Breach,1.0, 15.1  /  15  /  8.6 ,57.5%,3.1%,208,0.1%,541,Initiator
10,11,Fade,0.97, 14.7  /  15.1  /  7.1 ,48.0%,2.6%,199,0.2%,460,Initiator
11,12,Brimstone,0.97, 14.8  /  15.2  /  10.2 ,49.9%,2.5%,206,0.1%,441,Controller
12,13,Astra,1.06, 15.1  /  14.3  /  7.2 ,52.2%,2.4%,207,0.2%,427,Controller
13,14,Sage,1.01, 15  /  14.9  /  6.9 ,55.2%,2.3%,205,0.1%,406,Sentinel
14,15,Chamber,1.08, 17.2  /  15.9  /  2.7 ,50.2%,1.7%,222,0.1%,297,Sentinel
15,16,KAY/O,0.91, 14.4  /  15.8  /  10 ,40.1%,1.7%,211,0.1%,297,Initiator
16,17,Yoru,1.1, 17.2  /  15.6  /  4.6 ,54.9%,0.9%,232,0.1%,162,Duelist
17,18,Neon,0.97, 16.3  /  16.7  /  4.3 ,46.2%,0.5%,229,0.1%,93,Duelist
18,19,Harbor,0.96, 14.8  /  15.4  /  7.9 ,48.6%,0.2%,203,37,,Controller
19,20,Viper,1.1, 17.1  /  15.6  /  7.1 ,38.9%,0.1%,230,0.2%,18,Controller
