,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.4  /  16.2  /  3.6 ,49.4%,17.8%,236,0.2%,"158,841"
1,2,Sova,1.02, 14.9  /  14.6  /  6.3 ,50.3%,13.4%,206,0.1%,"119,228"
2,3,Omen,0.98, 14.8  /  15.1  /  9.6 ,48.6%,13.1%,202,0.1%,"116,865"
3,4,Reyna,1.1, 17.4  /  15.9  /  4.4 ,49.5%,9.6%,236,0.2%,"86,059"
4,5,Killjoy,1.02, 14.8  /  14.5  /  3.5 ,49.5%,9.6%,202,0.1%,"85,612"
5,6,KAY/O,0.93, 14.6  /  15.6  /  9.6 ,45.5%,4.2%,205,0.1%,"37,299"
6,7,Raze,1.02, 16.4  /  16.1  /  4.9 ,49.2%,4.0%,235,0.2%,"35,316"
7,8,Deadlock,1.01, 15.3  /  15.1  /  3.8 ,48.8%,3.6%,217,0.1%,"32,165"
8,9,Brimstone,0.98, 14.6  /  15  /  10.9 ,52.4%,3.6%,206,0.1%,"31,688"
9,10,Chamber,1.08, 16.5  /  15.3  /  2.7 ,47.6%,3.2%,218,0.2%,"28,893"
10,11,Phoenix,1.09, 17.2  /  15.7  /  5 ,51.0%,3.1%,238,0.2%,"27,741"
11,12,Skye,0.95, 14.5  /  15.4  /  7.9 ,49.3%,3.1%,199,0.1%,"27,242"
12,13,Cypher,1.02, 14.9  /  14.7  /  4.9 ,49.1%,3.0%,200,0.1%,"26,869"
13,14,Sage,0.97, 14.5  /  14.9  /  7.1 ,51.7%,2.6%,198,0.1%,"22,801"
14,15,Astra,1.03, 15.3  /  14.8  /  8.4 ,49.3%,2.1%,208,0.1%,"18,432"
15,16,Fade,0.97, 14.7  /  15.2  /  6.9 ,48.2%,1.3%,200,0.1%,"11,927"
16,17,Yoru,1.02, 16.3  /  16  /  4.5 ,46.3%,0.8%,221,0.2%,"7,576"
17,18,Breach,0.94, 14.6  /  15.5  /  7.7 ,47.0%,0.8%,200,0.1%,"7,091"
18,19,Gekko,0.94, 14.2  /  15.2  /  4.8 ,45.6%,0.5%,192,0.1%,"4,402"
19,20,Neon,0.97, 16.1  /  16.5  /  4.2 ,47.1%,0.4%,221,0.2%,"3,491"
20,21,Viper,1.03, 15.3  /  14.8  /  6 ,48.6%,0.2%,210,0.1%,"1,824"
21,22,Harbor,0.94, 14.5  /  15.4  /  6.6 ,43.4%,0.1%,198,850,
