,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.15, 18  /  15.6  /  4.5 ,49.7%,12.2%,251,0.1%,"37,740",Duelist
1,2,Jett,1.1, 17.3  /  15.7  /  3.8 ,49.3%,11.0%,242,0.1%,"34,016",Duelist
2,3,Sage,0.92, 13.6  /  14.8  /  7 ,50.3%,10.5%,191,0.1%,"32,489",Sentinel
3,4,Omen,0.98, 14.9  /  15.1  /  6.8 ,48.4%,9.7%,207,0.1%,"30,007",Controller
4,5,Killjoy,0.98, 14.1  /  14.3  /  3.8 ,50.9%,6.7%,198,0.2%,"20,645",Sentinel
5,6,Sova,1.01, 14.6  /  14.5  /  5.4 ,50.3%,6.0%,207,0.1%,"18,764",Initiator
6,7,Raze,1.05, 16.5  /  15.7  /  4.7 ,49.3%,5.9%,239,0.1%,"18,177",Duelist
7,8,Brimstone,0.96, 14.3  /  14.9  /  8.1 ,51.0%,5.7%,204,0.1%,"17,602",Controller
8,9,Skye,0.95, 14.3  /  15  /  7.5 ,49.8%,4.4%,201,0.1%,"13,615",Initiator
9,10,Phoenix,1.12, 17.2  /  15.4  /  4.5 ,50.0%,4.0%,243,0.1%,"12,412",Duelist
10,11,Fade,0.95, 14.3  /  15.1  /  6.4 ,50.2%,3.9%,201,0.1%,"11,959",Initiator
11,12,Cypher,1.0, 14.6  /  14.6  /  4.9 ,48.5%,3.6%,201,0.1%,"11,248",Sentinel
12,13,KAY/O,0.92, 14.3  /  15.6  /  8.8 ,46.9%,3.2%,205,0.1%,"9,967",Initiator
13,14,Breach,0.95, 14.5  /  15.4  /  6.4 ,48.4%,3.1%,204,0.1%,"9,727",Initiator
14,15,Chamber,1.05, 15.7  /  15  /  3.1 ,47.4%,2.9%,214,0.1%,"9,097",Sentinel
15,16,Neon,0.99, 16.1  /  16.2  /  4.2 ,46.2%,1.8%,228,0.1%,"5,555",Duelist
16,17,Astra,1.01, 14.9  /  14.7  /  6.2 ,47.6%,1.7%,204,0.1%,"5,201",Controller
17,18,Viper,0.97, 14.3  /  14.7  /  5.5 ,49.4%,1.7%,202,0.1%,"5,130",Controller
18,19,Yoru,1.0, 15.5  /  15.6  /  4.3 ,46.5%,1.5%,218,0.1%,"4,724",Duelist
19,20,Harbor,0.92, 14  /  15.1  /  5.9 ,49.7%,0.7%,195,0.1%,"2,153",Controller
