,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.15, 17.9  /  15.5  /  4.4 ,50.0%,11.1%,247,0.2%,"328,246"
1,2,Jett,1.1, 17.4  /  15.8  /  3.7 ,49.5%,10.2%,241,0.2%,"302,894"
2,3,Omen,0.98, 14.8  /  15.1  /  7 ,48.9%,10.0%,204,0.1%,"295,844"
3,4,Raze,1.07, 16.8  /  15.8  /  4.9 ,50.5%,8.5%,244,0.2%,"251,918"
4,5,Skye,0.94, 14  /  15  /  8 ,49.2%,6.6%,195,0.1%,"196,774"
5,6,Sage,0.91, 13.5  /  14.9  /  7 ,50.1%,5.9%,189,0.1%,"174,295"
6,7,Killjoy,1.01, 14.4  /  14.2  /  3.6 ,50.6%,5.6%,200,0.1%,"165,227"
7,8,Chamber,1.11, 16.4  /  14.8  /  2.9 ,49.8%,5.0%,221,0.2%,"148,326"
8,9,Deadlock,0.99, 14.9  /  15  /  3.8 ,49.2%,5.0%,210,0.1%,"147,523"
9,10,Gekko,0.93, 14  /  15  /  4.8 ,49.6%,4.5%,191,0.1%,"133,743"
10,11,Breach,0.94, 14.3  /  15.3  /  6.9 ,49.2%,4.3%,199,0.1%,"128,474"
11,12,Brimstone,0.96, 14.3  /  14.8  /  8.4 ,50.6%,4.1%,204,0.1%,"122,779"
12,13,Phoenix,1.11, 17.1  /  15.3  /  4.6 ,50.0%,2.9%,239,0.2%,"85,938"
13,14,Cypher,1, 14.5  /  14.6  /  4.6 ,48.4%,2.4%,198,0.1%,"70,669"
14,15,Fade,0.94, 14.1  /  15  /  6.4 ,49.0%,2.2%,196,0.1%,"66,385"
15,16,Viper,1, 14.7  /  14.7  /  5.7 ,49.8%,1.9%,206,0.1%,"57,393"
16,17,Astra,1.03, 15.2  /  14.7  /  6.2 ,49.9%,1.9%,206,0.1%,"56,202"
17,18,KAY/O,0.9, 14  /  15.5  /  8.9 ,44.8%,1.8%,201,0.1%,"52,773"
18,19,Sova,0.97, 14.4  /  14.8  /  5.5 ,48.6%,1.8%,204,0.1%,"52,112"
19,20,Neon,1, 16.2  /  16.3  /  4.2 ,48.0%,1.6%,228,0.2%,"48,987"
20,21,Harbor,0.92, 14  /  15.2  /  6 ,47.2%,1.5%,193,0.1%,"44,175"
21,22,Yoru,1, 15.7  /  15.7  /  4.3 ,46.1%,1.3%,218,0.2%,"38,245"
