,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.82, 11.8  /  14.3  /  6.7 ,49.4%,13.2%,173,0.1%,"29,810",Sentinel
1,2,Reyna,1.09, 16.3  /  14.9  /  4.7 ,49.9%,11.3%,236,0.1%,"25,380",Duelist
2,3,Raze,0.96, 14.4  /  15  /  4.9 ,48.8%,6.8%,218,0.1%,"15,385",Duelist
3,4,Killjoy,0.91, 12.8  /  14  /  4.3 ,50.3%,6.8%,189,0.2%,"15,215",Sentinel
4,5,Jett,1.0, 15.2  /  15.1  /  4.1 ,48.9%,6.1%,221,0.1%,"13,692",Duelist
5,6,Omen,0.9, 13.3  /  14.9  /  5.2 ,47.1%,5.7%,192,0.1%,"12,921",Controller
6,7,Brimstone,0.92, 13.2  /  14.3  /  6.7 ,50.3%,5.6%,195,0.1%,"12,512",Controller
7,8,Fade,0.84, 12.4  /  14.7  /  6.2 ,49.6%,4.8%,183,0.1%,"10,808",Initiator
8,9,Viper,0.9, 12.8  /  14.3  /  5.2 ,50.3%,4.4%,189,0.1%,"9,955",Controller
9,10,Skye,0.84, 12.2  /  14.6  /  7.2 ,48.9%,4.3%,182,0.1%,"9,753",Initiator
10,11,Neon,0.94, 14.6  /  15.5  /  4.3 ,49.6%,4.2%,214,0.1%,"9,470",Duelist
11,12,Phoenix,1.01, 14.9  /  14.8  /  4.6 ,48.8%,4.1%,218,0.1%,"9,329",Duelist
12,13,Sova,0.88, 12.8  /  14.6  /  5.2 ,47.4%,3.8%,189,0.1%,"8,617",Initiator
13,14,KAY/O,0.82, 12.3  /  15  /  8 ,46.8%,3.7%,185,0.1%,"8,408",Initiator
14,15,Breach,0.89, 13.3  /  15  /  5.8 ,49.1%,3.7%,195,0.1%,"8,407",Initiator
15,16,Yoru,0.91, 13.6  /  15  /  4.3 ,47.9%,3.5%,197,0.1%,"7,932",Duelist
16,17,Cypher,0.92, 13.1  /  14.2  /  5 ,48.6%,3.2%,187,0.2%,"7,299",Sentinel
17,18,Chamber,1.0, 14.4  /  14.3  /  3.5 ,49.9%,2.4%,205,0.1%,"5,462",Sentinel
18,19,Harbor,0.82, 12.2  /  15  /  5.4 ,46.2%,1.4%,179,0.1%,"3,108",Controller
19,20,Astra,0.94, 13.4  /  14.2  /  4.9 ,45.5%,0.8%,194,0.1%,"1,774",Controller
