,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.06, 16.9  /  16  /  4.8 ,49.5%,11.7%,243,0.1%,"668,490"
1,2,Jett,1.09, 17.3  /  16  /  3.6 ,48.6%,9.9%,237,0.1%,"567,285"
2,3,Brimstone,0.98, 14.6  /  14.9  /  8.1 ,50.7%,9.4%,204,0.1%,"538,502"
3,4,Reyna,1.14, 17.8  /  15.6  /  4.3 ,49.8%,9.2%,244,0.1%,"529,221"
4,5,Skye,0.95, 14.4  /  15.1  /  7.5 ,49.5%,8.7%,198,0.1%,"499,721"
5,6,Sage,0.92, 13.8  /  14.9  /  6.8 ,50.6%,7.6%,190,0.1%,"433,069"
6,7,Omen,0.97, 14.8  /  15.3  /  7 ,47.6%,6.2%,202,0.1%,"354,431"
7,8,Killjoy,0.98, 14  /  14.4  /  3.6 ,49.1%,5.7%,194,0.1%,"326,150"
8,9,Cypher,0.98, 14.4  /  14.6  /  4.6 ,48.6%,5.2%,193,0.1%,"295,003"
9,10,Chamber,1.07, 16  /  14.9  /  2.8 ,48.1%,4.2%,214,0.1%,"241,528"
10,11,Sova,1, 14.7  /  14.7  /  5.6 ,49.6%,3.7%,205,0.1%,"212,591"
11,12,Fade,0.95, 14.4  /  15.1  /  6.3 ,49.1%,2.9%,198,0.1%,"167,022"
12,13,Phoenix,1.11, 17.2  /  15.5  /  4.4 ,50.0%,2.7%,238,0.1%,"155,563"
13,14,Gekko,0.93, 14.2  /  15.2  /  4.7 ,49.1%,2.7%,192,0.1%,"155,446"
14,15,Viper,1.01, 14.9  /  14.8  /  5.6 ,49.2%,2.6%,206,0.1%,"147,930"
15,16,KAY/O,0.91, 14.3  /  15.7  /  8.6 ,44.6%,1.9%,201,0.1%,"107,421"
16,17,Breach,0.93, 14.4  /  15.6  /  6.4 ,46.8%,1.6%,199,0.1%,"91,388"
17,18,Astra,1.02, 15.1  /  14.8  /  6.3 ,48.5%,1.4%,204,0.1%,"81,807"
18,19,Yoru,1.03, 16.3  /  15.8  /  4.4 ,47.4%,1.3%,223,0.1%,"74,424"
19,20,Neon,0.96, 15.8  /  16.4  /  3.9 ,45.7%,0.8%,220,0.1%,"43,337"
20,21,Harbor,0.9, 13.9  /  15.3  /  5.8 ,44.6%,0.6%,190,0.1%,"36,973"
