,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.77, 10.8  /  14.1  /  5.9 ,50.9%,17.6%,159,0.1%,"635,766"
1,2,Reyna,1, 14.5  /  14.5  /  4.1 ,50.5%,12.4%,216,0.2%,"445,230"
2,3,Jett,0.95, 13.7  /  14.5  /  3.8 ,50.5%,9.4%,205,0.2%,"338,283"
3,4,Raze,0.89, 13  /  14.6  /  4.7 ,51.0%,9.0%,201,0.1%,"323,850"
4,5,Sova,0.79, 11.3  /  14.3  /  4.9 ,49.3%,7.3%,171,0.1%,"263,262"
5,6,Killjoy,0.84, 11.5  /  13.7  /  4.2 ,53.6%,6.6%,177,0.1%,"237,405"
6,7,Omen,0.85, 12.3  /  14.6  /  4.1 ,48.5%,6.1%,181,0.1%,"218,892"
7,8,Phoenix,0.86, 12.4  /  14.4  /  3.8 ,47.7%,5.6%,188,0.1%,"203,439"
8,9,Viper,0.79, 11.3  /  14.3  /  4.6 ,49.5%,5.6%,170,0.1%,"201,144"
9,10,Skye,0.78, 11.2  /  14.3  /  5.8 ,49.9%,4.4%,167,0.1%,"159,528"
10,11,Yoru,0.83, 12.2  /  14.6  /  3.4 ,45.9%,4.1%,181,0.1%,"146,217"
11,12,Brimstone,0.8, 11.5  /  14.4  /  5.1 ,49.7%,3.6%,173,0.1%,"130,968"
12,13,KAY/O,0.75, 10.9  /  14.6  /  6.3 ,48.1%,3.1%,166,0.1%,"109,905"
13,14,Cypher,0.83, 11.6  /  14.1  /  4.2 ,49.3%,3.0%,169,0.1%,"108,885"
14,15,Breach,0.79, 11.7  /  14.8  /  4.6 ,48.1%,1.5%,174,0.1%,"53,142"
15,16,Astra,0.88, 12.2  /  13.9  /  4 ,54.7%,0.7%,177,0.1%,"26,775"
