,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Raze,1.12, 18.4  /  16.4  /  5.3 ,53.7%,17.0%,264,0.1%,616,Duelist
1,2,Jett,1.18, 19.3  /  16.3  /  3.7 ,49.5%,12.6%,262,0.1%,459,Duelist
2,3,Skye,0.96, 14.8  /  15.4  /  8.2 ,46.9%,11.4%,203,0.1%,414,Initiator
3,4,Sage,1.01, 15.3  /  15.2  /  7.8 ,49.8%,11.3%,208,0.1%,410,Sentinel
4,5,Omen,1.01, 15.4  /  15.2  /  9.2 ,56.1%,9.1%,208,0.1%,330,Controller
5,6,Astra,1.09, 16.5  /  15.1  /  7.6 ,44.0%,7.6%,216,0.1%,275,Controller
6,7,Cypher,1.08, 15.7  /  14.6  /  4.1 ,54.9%,7.1%,203,0.2%,257,Sentinel
7,8,Killjoy,1.06, 16.3  /  15.4  /  3.5 ,49.6%,6.8%,214,0.2%,248,Sentinel
8,9,Reyna,1.11, 18.5  /  16.7  /  3.9 ,46.0%,4.8%,241,0.1%,174,Duelist
9,10,Breach,0.92, 14.9  /  16.2  /  7.3 ,36.4%,2.9%,190,0.1%,107,Initiator
10,11,Viper,1.23, 18.8  /  15.2  /  6 ,53.3%,2.1%,251,0.2%,75,Controller
11,12,Chamber,1.18, 18  /  15.3  /  2.4 ,62.9%,1.7%,229,0.1%,62,Sentinel
12,13,Fade,1.05, 15.9  /  15.1  /  6.8 ,42.9%,1.5%,221,0.1%,56,Initiator
13,14,KAY/O,1.09, 17.2  /  15.8  /  10.3 ,42.5%,1.1%,230,0.1%,40,Initiator
14,15,Yoru,1.08, 18.1  /  16.8  /  4.3 ,48.6%,1.0%,251,0.1%,35,Duelist
15,16,Brimstone,1.15, 16.1  /  14  /  8.2 ,27.8%,0.5%,245,0.1%,18,Controller
16,17,Neon,0.79, 14.3  /  18.1  /  4.2 ,26.7%,0.4%,203,0.1%,15,Duelist
17,18,Sova,1.36, 17.7  /  13  /  5.8 ,76.9%,0.4%,259,0.1%,13,Initiator
18,19,Harbor,1.01, 15.5  /  15.3  /  6.1 ,61.5%,0.4%,209,0.1%,13,Controller
19,20,Phoenix,0.82, 14.7  /  17.9  /  5.4 ,33.3%,0.3%,196,0.1%,12,Duelist
