,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.83, 12.1  /  14.5  /  6.5 ,49.7%,14.0%,176,0.1%,"23,480"
1,2,Reyna,1.07, 16.1  /  15  /  4.5 ,50.0%,10.9%,234,0.1%,"18,294"
2,3,Jett,1.01, 15.4  /  15.3  /  4.1 ,49.2%,6.8%,223,0.1%,"11,429"
3,4,Viper,0.91, 13.1  /  14.3  /  5.2 ,50.0%,6.7%,191,0.1%,"11,315"
4,5,Raze,0.97, 14.7  /  15.2  /  4.6 ,49.7%,6.4%,219,0.1%,"10,771"
5,6,Killjoy,0.94, 13  /  13.8  /  4.2 ,52.6%,6.2%,192,0.2%,"10,371"
6,7,Omen,0.93, 13.9  /  15  /  4.8 ,47.8%,6.2%,201,0.1%,"10,340"
7,8,Sova,0.89, 12.9  /  14.6  /  5 ,49.4%,5.7%,189,0.1%,"9,517"
8,9,Fade,0.86, 12.8  /  14.9  /  6.1 ,47.8%,4.3%,188,0.1%,"7,137"
9,10,Gekko,0.9, 13.1  /  14.6  /  4.6 ,50.6%,3.8%,189,0.1%,"6,390"
10,11,Phoenix,0.99, 14.8  /  15  /  4.4 ,48.2%,3.8%,216,0.1%,"6,319"
11,12,Yoru,0.91, 13.9  /  15.2  /  4.1 ,45.9%,3.7%,200,0.1%,"6,200"
12,13,Neon,0.94, 14.8  /  15.7  /  4.3 ,47.7%,3.6%,216,0.1%,"6,090"
13,14,KAY/O,0.85, 12.7  /  15  /  7.9 ,47.6%,3.6%,191,0.1%,"5,980"
14,15,Skye,0.86, 12.7  /  14.7  /  7.1 ,48.3%,3.4%,187,0.1%,"5,785"
15,16,Brimstone,0.9, 13.2  /  14.7  /  5.9 ,48.1%,3.2%,193,0.1%,"5,412"
16,17,Chamber,0.99, 14.5  /  14.6  /  3.4 ,47.0%,2.4%,205,0.1%,"4,009"
17,18,Cypher,0.92, 13.2  /  14.3  /  4.7 ,46.1%,2.2%,189,0.2%,"3,616"
18,19,Breach,0.88, 13.2  /  15.1  /  5.5 ,49.7%,1.4%,191,0.1%,"2,324"
19,20,Harbor,0.86, 12.8  /  14.9  /  5.5 ,47.0%,1.3%,187,0.1%,"2,162"
20,21,Astra,0.97, 14  /  14.4  /  4.7 ,47.2%,0.5%,197,0.2%,897
