,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.3  /  16  /  3.7 ,49.0%,15.1%,237,0.1%,"671,948",Duelist
1,2,Omen,0.98, 14.9  /  15.2  /  8.1 ,48.9%,12.7%,204,0.1%,"562,588",Controller
2,3,Reyna,1.12, 17.7  /  15.8  /  4.5 ,49.7%,9.9%,243,0.1%,"439,610",Duelist
3,4,Sova,1.01, 14.8  /  14.7  /  5.8 ,49.8%,8.4%,205,0.1%,"373,905",Initiator
4,5,Killjoy,1.02, 14.8  /  14.6  /  3.6 ,50.2%,7.6%,202,0.1%,"335,625",Sentinel
5,6,Sage,0.94, 14.1  /  15.1  /  7.1 ,50.2%,6.5%,195,0.1%,"288,051",Sentinel
6,7,Skye,0.95, 14.5  /  15.3  /  7.8 ,49.3%,5.6%,199,0.1%,"248,713",Initiator
7,8,Raze,1.04, 16.6  /  16  /  4.7 ,49.8%,4.6%,237,0.1%,"205,484",Duelist
8,9,Brimstone,0.97, 14.5  /  15  /  9.4 ,51.5%,4.5%,204,0.1%,"198,080",Controller
9,10,Cypher,1.01, 15  /  14.7  /  4.7 ,49.3%,4.1%,202,0.1%,"182,547",Sentinel
10,11,Chamber,1.07, 16.2  /  15.1  /  2.9 ,47.7%,3.9%,216,0.1%,"171,929",Sentinel
11,12,Phoenix,1.1, 17.3  /  15.7  /  4.8 ,50.8%,3.8%,240,0.1%,"170,325",Duelist
12,13,Breach,0.94, 14.6  /  15.4  /  7.4 ,48.5%,2.8%,201,0.1%,"124,035",Initiator
13,14,Gekko,0.94, 14.3  /  15.2  /  5.1 ,49.5%,2.2%,195,0.1%,"97,758",Initiator
14,15,Fade,0.96, 14.5  /  15.2  /  6.8 ,49.5%,2.1%,200,0.1%,"92,546",Initiator
15,16,Astra,1.02, 15.1  /  14.8  /  7 ,48.5%,1.9%,205,0.1%,"84,640",Controller
16,17,KAY/O,0.92, 14.4  /  15.7  /  9.4 ,44.6%,1.8%,205,0.1%,"80,991",Initiator
17,18,Yoru,1.01, 15.9  /  15.8  /  4.6 ,47.9%,1.0%,219,0.1%,"42,828",Duelist
18,19,Neon,0.97, 15.9  /  16.5  /  4.2 ,46.7%,0.8%,222,0.1%,"34,803",Duelist
19,20,Viper,1.0, 14.9  /  14.9  /  6 ,48.2%,0.5%,207,0.1%,"20,711",Controller
20,21,Harbor,0.93, 14.3  /  15.4  /  6.4 ,45.0%,0.3%,196,0.1%,"12,298",Controller
