,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.2, 18.1  /  15.1  /  4.5 ,50.6%,12.1%,255,0.2%,"488,598",Duelist
1,2,Jett,1.13, 17.4  /  15.4  /  3.9 ,49.7%,8.9%,245,0.2%,"362,558",Duelist
2,3,Brimstone,0.99, 14.4  /  14.5  /  8.1 ,51.4%,8.8%,207,0.1%,"354,885",Controller
3,4,Sage,0.9, 13.2  /  14.6  /  6.8 ,49.9%,7.5%,187,0.1%,"304,119",Sentinel
4,5,Raze,1.06, 16.4  /  15.4  /  4.8 ,49.6%,6.4%,239,0.2%,"260,453",Duelist
5,6,Breach,0.95, 14.3  /  15.1  /  6.4 ,49.4%,6.4%,202,0.1%,"259,258",Initiator
6,7,Killjoy,1.0, 14.2  /  14.1  /  4 ,50.6%,5.8%,201,0.1%,"234,768",Sentinel
7,8,Omen,0.97, 14.6  /  15  /  6.3 ,47.3%,5.5%,205,0.1%,"223,179",Controller
8,9,Deadlock,0.99, 14.8  /  14.9  /  4 ,48.9%,5.2%,209,0.1%,"209,141",Sentinel
9,10,Skye,0.93, 13.8  /  14.8  /  7.3 ,49.0%,5.0%,195,0.1%,"204,459",Initiator
10,11,Chamber,1.1, 16.2  /  14.7  /  3.2 ,49.3%,3.3%,222,0.2%,"135,344",Sentinel
11,12,Cypher,1.0, 14.4  /  14.4  /  4.9 ,49.2%,3.2%,200,0.1%,"131,361",Sentinel
12,13,Phoenix,1.13, 16.9  /  15  /  4.5 ,50.5%,3.2%,239,0.2%,"128,421",Duelist
13,14,Viper,0.98, 14.2  /  14.5  /  5.5 ,49.0%,3.0%,202,0.1%,"122,355",Controller
14,15,Gekko,0.93, 13.8  /  14.9  /  4.7 ,49.1%,2.9%,193,0.1%,"118,623",Initiator
15,16,Neon,1.03, 16.4  /  15.9  /  4.3 ,49.2%,2.8%,234,0.2%,"111,586",Duelist
16,17,Fade,0.93, 13.8  /  14.8  /  6.2 ,49.0%,2.5%,195,0.1%,"100,214",Initiator
17,18,KAY/O,0.91, 13.9  /  15.3  /  8.4 ,46.4%,2.1%,202,0.1%,"85,970",Initiator
18,19,Sova,0.96, 14.1  /  14.7  /  5.3 ,47.8%,1.9%,202,0.1%,"76,392",Initiator
19,20,Yoru,1.01, 15.5  /  15.3  /  4.3 ,46.9%,1.6%,218,0.2%,"66,115",Duelist
20,21,Astra,1.03, 14.9  /  14.5  /  5.9 ,48.2%,1.1%,208,0.1%,"44,343",Controller
21,22,Harbor,0.92, 13.7  /  15  /  5.7 ,46.1%,0.8%,194,0.1%,"31,263",Controller
