,Rank,Agent,KD,KDA,Win %,Pick %,Avg. Score,First Blood %,Matches
0,1,Sage,0.95, 13.7  /  14.4  /  6.8 ,51.2%,14.6%,198,0.1%,"2,334,678"
1,2,Reyna,1.19, 17.9  /  15.1  /  4.5 ,51.6%,13.7%,257,0.2%,"2,200,752"
2,3,Jett,1.15, 17.5  /  15.2  /  3.8 ,50.7%,12.8%,252,0.2%,"2,050,455"
3,4,Raze,1.08, 16.5  /  15.3  /  4.9 ,51.2%,9.8%,246,0.1%,"1,576,257"
4,5,Omen,0.99, 14.9  /  15  /  3.8 ,49.7%,9.3%,211,0.1%,"1,495,167"
5,6,Sova,1.01, 14.4  /  14.3  /  6 ,50.5%,7.4%,211,0.1%,"1,180,344"
6,7,Killjoy,0.98, 13.8  /  14.1  /  4 ,51.8%,7.1%,202,0.1%,"1,136,892"
7,8,Brimstone,0.97, 14.4  /  14.8  /  5.2 ,50.3%,5.7%,209,0.1%,"919,326"
8,9,Phoenix,1.1, 16.6  /  15.1  /  4.3 ,50.1%,5.7%,240,0.2%,"910,248"
9,10,Cypher,0.98, 14.2  /  14.5  /  4.9 ,48.8%,4.1%,201,0.1%,"652,239"
10,11,Breach,0.94, 14.3  /  15.3  /  5.5 ,47.5%,2.9%,206,0.1%,"459,102"
11,12,Viper,1, 14.4  /  14.5  /  4.4 ,50.5%,2.4%,207,0.1%,"382,194"
12,13,Yoru,0.96, 14.8  /  15.4  /  3.9 ,44.8%,1.7%,214,0.1%,"265,659"
13,14,Skye,0.93, 13.9  /  14.9  /  4.6 ,47.4%,1.5%,199,0.1%,"234,804"
14,15,Astra,1, 14.5  /  14.5  /  4.1 ,48.3%,1.3%,207,0.1%,"212,160"
