,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.3  /  16  /  3.8 ,49.5%,13.3%,237,0.1%,"14,300",Duelist
1,2,Reyna,1.14, 18  /  15.8  /  4.6 ,50.9%,9.6%,247,0.1%,"10,272",Duelist
2,3,Fade,0.98, 14.9  /  15.2  /  6.7 ,49.5%,8.4%,204,0.1%,"9,055",Initiator
3,4,Gekko,0.97, 14.6  /  15.1  /  5.5 ,50.6%,7.2%,197,0.2%,"7,763",Initiator
4,5,Viper,1.01, 15  /  14.9  /  6.3 ,49.1%,6.7%,207,0.2%,"7,207",Controller
5,6,Cypher,1.02, 15  /  14.7  /  4.8 ,49.8%,6.3%,203,0.1%,"6,780",Sentinel
6,7,Killjoy,1.04, 15  /  14.4  /  3.9 ,51.0%,5.8%,206,0.2%,"6,275",Sentinel
7,8,Sage,0.94, 14.2  /  15  /  7.2 ,49.9%,5.8%,195,0.1%,"6,206",Sentinel
8,9,Astra,1.03, 15.1  /  14.6  /  7 ,49.7%,5.7%,205,0.2%,"6,177",Controller
9,10,Phoenix,1.12, 17.7  /  15.8  /  5.1 ,50.8%,4.3%,247,0.1%,"4,636",Duelist
10,11,Raze,1.05, 16.9  /  16.1  /  5.1 ,50.8%,4.1%,242,0.1%,"4,456",Duelist
11,12,Harbor,0.92, 14  /  15.3  /  6.5 ,46.8%,3.5%,191,0.1%,"3,722",Controller
12,13,Skye,0.95, 14.7  /  15.5  /  8 ,47.2%,3.4%,204,0.1%,"3,648",Initiator
13,14,KAY/O,0.9, 14.4  /  15.9  /  9.2 ,43.3%,3.4%,204,0.1%,"3,602",Initiator
14,15,Brimstone,0.98, 14.4  /  14.7  /  8.9 ,51.2%,3.0%,206,0.1%,"3,171",Controller
15,16,Chamber,1.1, 16.5  /  15.1  /  2.9 ,48.2%,2.9%,220,0.1%,"3,123",Sentinel
16,17,Omen,0.97, 15  /  15.4  /  7 ,47.1%,1.7%,207,0.1%,"1,875",Controller
17,18,Sova,1.01, 14.8  /  14.6  /  5.9 ,49.5%,1.7%,207,0.2%,"1,832",Initiator
18,19,Neon,0.97, 16  /  16.4  /  4.4 ,48.6%,1.2%,226,0.1%,"1,328",Duelist
19,20,Yoru,1.05, 16.7  /  15.9  /  4.6 ,47.3%,1.1%,228,0.1%,"1,206",Duelist
20,21,Breach,0.91, 14.2  /  15.5  /  6.9 ,44.4%,0.8%,201,0.1%,815,Initiator
