,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.18, 17.7  /  14.9  /  4.6 ,50.8%,11.9%,252,0.1%,"1,031,572"
1,2,Sage,0.88, 12.8  /  14.5  /  6.8 ,49.8%,11.0%,184,0.1%,"954,045"
2,3,Jett,1.11, 16.9  /  15.2  /  4 ,50.2%,7.5%,241,0.1%,"655,074"
3,4,Brimstone,0.97, 14.1  /  14.5  /  7.5 ,51.0%,7.4%,205,0.1%,"637,978"
4,5,Killjoy,0.97, 13.7  /  14  /  4.1 ,50.6%,6.6%,197,0.1%,"572,459"
5,6,Raze,1.03, 15.8  /  15.3  /  4.9 ,49.6%,6.5%,233,0.1%,"563,291"
6,7,Omen,0.96, 14.2  /  14.9  /  5.8 ,47.6%,6.1%,202,0.1%,"530,913"
7,8,Breach,0.93, 14  /  15.1  /  6 ,49.2%,4.7%,201,0.1%,"410,647"
8,9,Skye,0.9, 13.3  /  14.7  /  7.3 ,48.9%,4.6%,192,0.1%,"402,696"
9,10,Gekko,0.91, 13.4  /  14.8  /  4.8 ,49.5%,4.3%,191,0.1%,"376,255"
10,11,Phoenix,1.09, 16.2  /  14.8  /  4.5 ,49.8%,3.7%,233,0.1%,"325,262"
11,12,Viper,0.95, 13.8  /  14.5  /  5.4 ,49.0%,3.5%,198,0.1%,"307,352"
12,13,Cypher,0.97, 13.9  /  14.3  /  4.9 ,49.2%,3.3%,196,0.1%,"287,342"
13,14,Neon,1.01, 15.8  /  15.6  /  4.3 ,49.1%,3.3%,229,0.1%,"282,984"
14,15,Fade,0.91, 13.5  /  14.8  /  6.2 ,49.0%,3.1%,194,0.1%,"269,349"
15,16,Chamber,1.06, 15.4  /  14.6  /  3.3 ,48.5%,2.8%,215,0.1%,"239,785"
16,17,Sova,0.93, 13.6  /  14.6  /  5.3 ,47.7%,2.8%,198,0.1%,"239,290"
17,18,KAY/O,0.89, 13.4  /  15.1  /  8.2 ,46.7%,2.7%,198,0.1%,"236,524"
18,19,Yoru,0.98, 14.9  /  15.2  /  4.5 ,46.5%,2.1%,212,0.1%,"183,271"
19,20,Harbor,0.89, 13.3  /  14.9  /  5.6 ,46.7%,1.1%,190,0.1%,"97,959"
20,21,Astra,1, 14.4  /  14.4  /  5.5 ,48.0%,0.9%,203,0.1%,"74,532"
