,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.08, 17.4  /  16.1  /  3.6 ,49.3%,16.6%,236,0.2%,"184,667"
1,2,Omen,0.98, 14.8  /  15.1  /  8.4 ,48.8%,13.2%,202,0.1%,"147,541"
2,3,Reyna,1.11, 17.6  /  15.8  /  4.4 ,49.8%,10.3%,240,0.2%,"114,459"
3,4,Sova,1, 14.8  /  14.7  /  5.8 ,49.8%,9.4%,204,0.1%,"104,717"
4,5,Killjoy,1.03, 15  /  14.6  /  3.4 ,50.3%,6.5%,203,0.1%,"72,293"
5,6,Skye,0.95, 14.5  /  15.3  /  7.7 ,49.2%,6.1%,198,0.1%,"67,677"
6,7,Chamber,1.08, 16.4  /  15.1  /  2.7 ,48.2%,4.5%,218,0.2%,"50,127"
7,8,Raze,1.04, 16.6  /  16  /  4.6 ,49.9%,4.2%,236,0.2%,"46,389"
8,9,Sage,0.95, 14.3  /  15.1  /  7 ,50.4%,4.1%,197,0.1%,"45,607"
9,10,Cypher,1.02, 15.1  /  14.8  /  4.6 ,49.8%,3.9%,202,0.1%,"43,734"
10,11,Brimstone,0.97, 14.5  /  14.9  /  9.7 ,51.7%,3.8%,205,0.1%,"42,462"
11,12,Phoenix,1.1, 17.3  /  15.8  /  4.7 ,50.6%,3.8%,238,0.2%,"42,273"
12,13,Deadlock,1, 15.3  /  15.2  /  3.8 ,48.9%,3.7%,219,0.1%,"40,775"
13,14,Breach,0.94, 14.5  /  15.4  /  7.6 ,48.7%,2.6%,199,0.1%,"29,039"
14,15,Astra,1.03, 15.2  /  14.8  /  7.3 ,48.8%,1.9%,205,0.1%,"21,073"
15,16,Fade,0.95, 14.5  /  15.2  /  6.8 ,48.9%,1.5%,199,0.1%,"16,492"
16,17,KAY/O,0.93, 14.6  /  15.7  /  9.5 ,45.0%,1.2%,207,0.1%,"13,244"
17,18,Yoru,1, 16.1  /  16.1  /  4.5 ,46.8%,1.0%,218,0.2%,"11,165"
18,19,Gekko,0.95, 14.4  /  15.2  /  5 ,50.2%,1.0%,194,0.1%,"10,646"
19,20,Neon,0.98, 16.2  /  16.5  /  4.1 ,47.5%,0.6%,224,0.2%,"6,997"
20,21,Viper,1.01, 15  /  14.8  /  5.9 ,47.0%,0.3%,208,0.1%,"2,824"
21,22,Harbor,0.95, 14.5  /  15.3  /  6.5 ,43.8%,0.1%,199,"1,352",
