,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.5  /  16  /  3.6 ,49.6%,14.4%,239,0.2%,"157,997"
1,2,Brimstone,0.99, 14.7  /  14.8  /  9.5 ,51.1%,13.7%,205,0.1%,"150,361"
2,3,Breach,0.93, 14.3  /  15.3  /  7.5 ,49.1%,12.0%,195,0.1%,"132,398"
3,4,Reyna,1.14, 17.7  /  15.6  /  4.3 ,50.1%,9.2%,241,0.2%,"100,930"
4,5,Raze,1.06, 16.8  /  15.9  /  4.6 ,49.5%,7.8%,237,0.2%,"86,283"
5,6,Killjoy,1.03, 14.9  /  14.4  /  3.6 ,50.6%,6.9%,202,0.1%,"76,141"
6,7,Chamber,1.1, 16.6  /  15.1  /  2.8 ,48.7%,4.9%,220,0.2%,"54,240"
7,8,Cypher,1.02, 15.1  /  14.7  /  4.7 ,48.9%,4.3%,202,0.1%,"47,178"
8,9,Deadlock,1.01, 15.3  /  15.1  /  3.9 ,48.8%,4.0%,206,0.1%,"44,339"
9,10,Skye,0.95, 14.4  /  15.1  /  7.4 ,49.3%,3.5%,197,0.1%,"38,132"
10,11,Sage,0.94, 14.1  /  14.9  /  6.8 ,50.3%,3.1%,193,0.1%,"33,914"
11,12,Viper,0.99, 14.8  /  14.9  /  5.8 ,48.6%,2.3%,204,0.1%,"25,278"
12,13,Fade,0.97, 14.6  /  15  /  6.2 ,48.6%,2.2%,198,0.1%,"24,171"
13,14,Omen,0.96, 14.6  /  15.2  /  7.4 ,45.2%,2.0%,200,0.1%,"22,237"
14,15,Neon,1.01, 16.6  /  16.5  /  4.3 ,48.1%,2.0%,230,0.2%,"21,612"
15,16,Phoenix,1.1, 17  /  15.4  /  4.5 ,49.9%,1.8%,235,0.2%,"19,856"
16,17,KAY/O,0.93, 14.4  /  15.5  /  9.3 ,45.7%,1.6%,203,0.1%,"17,595"
17,18,Gekko,0.94, 14.2  /  15.1  /  4.7 ,48.7%,1.3%,190,0.1%,"14,048"
18,19,Astra,1.03, 15.2  /  14.8  /  6.8 ,47.2%,1.0%,206,0.1%,"11,013"
19,20,Yoru,1, 15.7  /  15.8  /  4.3 ,47.1%,1.0%,216,0.2%,"10,799"
20,21,Sova,1, 14.7  /  14.7  /  5.6 ,48.8%,0.7%,203,0.1%,"7,746"
21,22,Harbor,0.91, 13.9  /  15.3  /  6.1 ,44.6%,0.3%,189,0.1%,"3,557"
