,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.16, 17.7  /  15.3  /  4.6 ,50.6%,11.8%,250,0.1%,"1,084,895"
1,2,Sage,0.91, 13.3  /  14.6  /  7 ,49.9%,10.1%,189,0.1%,"925,683"
2,3,Killjoy,1.01, 14.2  /  14  /  4.1 ,50.5%,9.6%,202,0.1%,"884,126"
3,4,Jett,1.11, 17.2  /  15.5  /  3.9 ,49.9%,9.3%,243,0.1%,"853,306"
4,5,Omen,0.99, 14.8  /  14.9  /  6.9 ,48.9%,9.1%,208,0.1%,"832,103"
5,6,Raze,1.04, 16.1  /  15.5  /  5.2 ,49.9%,6.5%,238,0.1%,"594,683"
6,7,Sova,1.01, 14.5  /  14.4  /  5.7 ,50.6%,6.1%,208,0.1%,"563,802"
7,8,Brimstone,0.97, 14.3  /  14.7  /  8.2 ,51.1%,5.6%,208,0.1%,"514,579"
8,9,Skye,0.92, 13.7  /  14.9  /  7.7 ,48.9%,4.0%,195,0.1%,"363,615"
9,10,Phoenix,1.11, 16.7  /  15.1  /  4.7 ,50.5%,3.7%,239,0.1%,"339,222"
10,11,Gekko,0.91, 13.7  /  15  /  4.7 ,48.2%,3.4%,192,0.1%,"313,723"
11,12,KAY/O,0.9, 13.7  /  15.2  /  8.1 ,46.4%,3.2%,198,0.1%,"296,472"
12,13,Cypher,0.99, 14.2  /  14.3  /  5.1 ,48.7%,2.8%,197,0.1%,"257,404"
13,14,Fade,0.93, 13.9  /  14.9  /  6.3 ,48.7%,2.7%,197,0.1%,"245,597"
14,15,Chamber,1.08, 15.9  /  14.7  /  3.2 ,49.0%,2.5%,220,0.1%,"227,718"
15,16,Viper,0.98, 14.2  /  14.6  /  5.5 ,48.7%,2.4%,203,0.1%,"219,146"
16,17,Neon,0.99, 15.7  /  15.9  /  4.2 ,47.4%,2.0%,224,0.1%,"180,892"
17,18,Yoru,0.99, 15.2  /  15.4  /  4.5 ,46.1%,1.7%,216,0.1%,"160,344"
18,19,Breach,0.93, 14.2  /  15.3  /  6.1 ,48.0%,1.7%,203,0.1%,"158,560"
19,20,Astra,1.04, 15  /  14.5  /  6.3 ,49.9%,1.1%,209,0.1%,"104,701"
20,21,Harbor,0.91, 13.7  /  15.1  /  5.8 ,45.8%,0.7%,194,0.1%,"68,759"
