,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 18  /  16.5  /  3.8 ,48.3%,16.8%,247,0.1%,"13,207"
1,2,Viper,1.02, 15.4  /  15.1  /  5.9 ,49.5%,15.4%,210,0.1%,"12,132"
2,3,Sova,1, 14.9  /  14.9  /  5.6 ,49.1%,13.6%,205,0.2%,"10,654"
3,4,Reyna,1.13, 18.3  /  16.2  /  4.2 ,50.6%,11.7%,250,0.1%,"9,173"
4,5,Sage,0.94, 14.3  /  15.1  /  7.1 ,50.1%,11.0%,194,0.1%,"8,661"
5,6,Killjoy,1.05, 15.2  /  14.5  /  3.5 ,49.7%,7.2%,206,0.2%,"5,646"
6,7,Raze,1.02, 16.8  /  16.4  /  4.6 ,48.4%,5.5%,238,0.1%,"4,356"
7,8,KAY/O,0.93, 15  /  16.1  /  9.6 ,45.3%,3.2%,209,0.1%,"2,507"
8,9,Chamber,1.1, 16.8  /  15.2  /  2.7 ,48.3%,2.8%,223,0.1%,"2,162"
9,10,Omen,1, 15.6  /  15.7  /  6.1 ,46.6%,2.0%,214,0.1%,"1,581"
10,11,Harbor,0.93, 14.5  /  15.6  /  6 ,47.0%,2.0%,195,0.1%,"1,564"
11,12,Skye,0.93, 14.6  /  15.7  /  7.5 ,45.8%,1.8%,199,0.1%,"1,428"
12,13,Fade,0.95, 15  /  15.8  /  6.5 ,47.1%,1.6%,202,0.1%,"1,229"
13,14,Phoenix,1.08, 16.9  /  15.6  /  4.2 ,54.0%,1.1%,236,0.1%,876
14,15,Cypher,1.01, 15.2  /  15.1  /  4.4 ,47.5%,1.0%,204,0.1%,806
15,16,Yoru,1, 16.2  /  16.2  /  4.2 ,46.4%,0.9%,216,0.1%,696
16,17,Neon,1.01, 16.7  /  16.6  /  3.9 ,48.1%,0.9%,233,0.1%,675
17,18,Brimstone,0.93, 14.4  /  15.5  /  7.7 ,51.9%,0.9%,200,0.1%,669
18,19,Breach,0.89, 13.7  /  15.5  /  6.7 ,44.5%,0.4%,195,0.1%,317
19,20,Astra,1.01, 15.3  /  15.2  /  5.3 ,42.3%,0.3%,211,0.1%,208
