,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.87, 12.7  /  14.5  /  7.2 ,50.2%,13.5%,183,0.1%,"37,992"
1,2,Reyna,1.12, 16.9  /  15.1  /  4.6 ,49.7%,11.6%,242,0.1%,"32,542"
2,3,Raze,1.01, 15.5  /  15.3  /  5.1 ,50.4%,7.9%,231,0.1%,"22,172"
3,4,Omen,0.96, 14.3  /  14.9  /  5.6 ,48.9%,7.2%,203,0.1%,"20,184"
4,5,Killjoy,0.97, 13.7  /  14.1  /  4.3 ,50.5%,6.6%,199,0.2%,"18,616"
5,6,Jett,1.03, 15.9  /  15.4  /  4.1 ,49.4%,6.5%,228,0.1%,"18,376"
6,7,Brimstone,0.94, 13.8  /  14.7  /  7.1 ,49.3%,4.7%,203,0.1%,"13,143"
7,8,Skye,0.9, 13.3  /  14.8  /  7.7 ,48.8%,4.7%,192,0.1%,"13,132"
8,9,Fade,0.88, 13.1  /  14.9  /  6 ,48.7%,4.5%,190,0.1%,"12,752"
9,10,Viper,0.93, 13.6  /  14.5  /  5.2 ,48.0%,4.1%,196,0.1%,"11,654"
10,11,Phoenix,1.03, 15.4  /  15  /  4.7 ,48.5%,4.1%,226,0.1%,"11,427"
11,12,Cypher,0.98, 14  /  14.3  /  5.2 ,49.4%,4.0%,197,0.2%,"11,294"
12,13,Sova,0.92, 13.5  /  14.7  /  5.2 ,48.6%,4.0%,197,0.1%,"11,201"
13,14,KAY/O,0.86, 13.1  /  15.2  /  7.9 ,46.5%,3.7%,194,0.1%,"10,463"
14,15,Neon,0.95, 15  /  15.8  /  4.3 ,46.7%,3.3%,216,0.1%,"9,241"
15,16,Yoru,0.95, 14.4  /  15.1  /  4.3 ,46.1%,2.9%,206,0.1%,"8,032"
16,17,Breach,0.91, 14  /  15.3  /  5.8 ,48.8%,2.4%,200,0.1%,"6,678"
17,18,Chamber,0.99, 14.6  /  14.7  /  3.5 ,47.0%,2.1%,207,0.1%,"6,051"
18,19,Astra,0.97, 14  /  14.5  /  5.5 ,48.6%,1.2%,198,0.1%,"3,489"
19,20,Harbor,0.87, 13.2  /  15.1  /  5.4 ,44.0%,1.1%,189,0.1%,"3,094"
