,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.88, 12.7  /  14.5  /  7 ,50.4%,12.2%,183,0.1%,"27,742"
1,2,Reyna,1.16, 17.5  /  15.1  /  4.8 ,51.1%,11.8%,250,0.1%,"26,940"
2,3,Jett,1.08, 16.5  /  15.3  /  4.2 ,49.3%,6.7%,235,0.1%,"15,175"
3,4,Killjoy,0.99, 13.7  /  13.8  /  4.4 ,51.8%,6.3%,201,0.2%,"14,461"
4,5,Raze,1.03, 15.7  /  15.3  /  5.1 ,51.2%,5.7%,233,0.1%,"12,925"
5,6,Omen,0.97, 14.4  /  14.9  /  5.7 ,48.5%,5.4%,206,0.1%,"12,346"
6,7,Fade,0.92, 13.7  /  14.8  /  6.4 ,50.0%,5.2%,198,0.1%,"11,954"
7,8,Viper,0.96, 13.8  /  14.4  /  5.8 ,49.2%,5.2%,200,0.1%,"11,893"
8,9,Brimstone,0.96, 14  /  14.6  /  7.3 ,50.8%,4.5%,204,0.1%,"10,344"
9,10,Gekko,0.96, 14  /  14.5  /  5.2 ,52.8%,4.5%,198,0.1%,"10,208"
10,11,Skye,0.92, 13.5  /  14.7  /  7.8 ,49.9%,4.0%,196,0.1%,"9,041"
11,12,Phoenix,1.09, 16.3  /  14.9  /  4.8 ,49.5%,3.8%,236,0.1%,"8,764"
12,13,Cypher,0.98, 14  /  14.2  /  5.2 ,48.5%,3.5%,196,0.2%,"8,055"
13,14,Sova,0.95, 13.7  /  14.4  /  5.5 ,49.4%,3.5%,200,0.1%,"7,993"
14,15,KAY/O,0.89, 13.5  /  15.2  /  8.2 ,46.0%,3.5%,199,0.1%,"7,884"
15,16,Neon,0.99, 15.6  /  15.8  /  4.4 ,47.6%,3.0%,226,0.1%,"6,940"
16,17,Chamber,1.05, 15.1  /  14.3  /  3.4 ,47.8%,2.8%,213,0.1%,"6,388"
17,18,Yoru,0.99, 14.9  /  15.1  /  4.4 ,47.9%,2.7%,214,0.1%,"6,221"
18,19,Harbor,0.87, 13  /  14.9  /  6 ,46.5%,2.1%,186,0.1%,"4,863"
19,20,Breach,0.94, 14.2  /  15.1  /  6 ,47.6%,1.8%,205,0.1%,"4,168"
20,21,Astra,1.02, 14.3  /  14.1  /  5.7 ,50.1%,1.6%,202,0.1%,"3,626"
