,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.16, 18  /  15.5  /  4.6 ,50.3%,12.0%,251,0.2%,"447,999",Duelist
1,2,Jett,1.12, 17.6  /  15.7  /  3.8 ,49.6%,11.4%,245,0.2%,"422,684",Duelist
2,3,Omen,1.0, 15  /  15  /  7.6 ,48.9%,10.1%,208,0.1%,"377,297",Controller
3,4,Killjoy,1.01, 14.4  /  14.2  /  3.8 ,50.0%,8.7%,201,0.1%,"323,028",Sentinel
4,5,Sage,0.93, 13.7  /  14.7  /  7 ,50.4%,6.9%,192,0.1%,"258,694",Sentinel
5,6,Sova,1.03, 14.8  /  14.4  /  5.8 ,50.7%,6.8%,209,0.1%,"254,123",Initiator
6,7,Raze,1.05, 16.6  /  15.7  /  5.1 ,49.6%,5.9%,241,0.2%,"218,520",Duelist
7,8,Brimstone,0.98, 14.6  /  14.8  /  8.9 ,51.3%,5.5%,209,0.1%,"206,387",Controller
8,9,Deadlock,1.0, 14.9  /  14.9  /  3.9 ,48.9%,4.7%,215,0.1%,"174,099",Sentinel
9,10,Skye,0.94, 14.1  /  15  /  7.7 ,48.9%,4.2%,199,0.1%,"156,668",Initiator
10,11,Phoenix,1.13, 17.3  /  15.3  /  4.8 ,51.1%,3.5%,245,0.2%,"131,149",Duelist
11,12,KAY/O,0.92, 14.1  /  15.3  /  8.4 ,46.2%,3.1%,202,0.1%,"116,232",Initiator
12,13,Chamber,1.1, 16.3  /  14.8  /  3 ,49.2%,2.7%,223,0.2%,"102,322",Sentinel
13,14,Cypher,1.01, 14.6  /  14.4  /  5 ,49.7%,2.6%,200,0.1%,"95,083",Sentinel
14,15,Gekko,0.93, 14  /  15.1  /  4.8 ,47.8%,2.1%,194,0.1%,"76,941",Initiator
15,16,Fade,0.96, 14.3  /  14.9  /  6.3 ,49.1%,2.0%,200,0.1%,"73,229",Initiator
16,17,Breach,0.95, 14.5  /  15.4  /  6.5 ,48.3%,1.8%,204,0.1%,"68,285",Initiator
17,18,Viper,0.99, 14.5  /  14.6  /  5.6 ,48.4%,1.5%,204,0.1%,"54,146",Controller
18,19,Astra,1.05, 15.3  /  14.6  /  6.8 ,49.6%,1.4%,211,0.1%,"53,543",Controller
19,20,Yoru,1.02, 15.8  /  15.5  /  4.3 ,46.3%,1.3%,221,0.2%,"49,826",Duelist
20,21,Neon,1.0, 16.1  /  16.1  /  4.1 ,47.3%,1.3%,227,0.2%,"49,001",Duelist
21,22,Harbor,0.92, 13.9  /  15.2  /  6 ,47.2%,0.4%,195,0.1%,"14,645",Controller
