,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.88, 12.7  /  14.4  /  7.2 ,50.9%,13.5%,184,0.1%,"27,675",Sentinel
1,2,Reyna,1.1, 16.6  /  15.1  /  4.7 ,50.4%,11.1%,240,0.1%,"22,727",Duelist
2,3,Raze,1.01, 15.5  /  15.4  /  5.2 ,49.9%,7.4%,231,0.1%,"15,082",Duelist
3,4,Omen,0.95, 14.3  /  15  /  5.7 ,48.3%,7.2%,204,0.1%,"14,690",Controller
4,5,Killjoy,0.96, 13.5  /  14.1  /  4.3 ,50.3%,6.9%,197,0.2%,"14,023",Sentinel
5,6,Jett,1.01, 15.6  /  15.5  /  4.1 ,47.2%,5.9%,225,0.1%,"12,048",Duelist
6,7,Brimstone,0.93, 13.8  /  14.8  /  7.3 ,49.9%,4.6%,203,0.1%,"9,429",Controller
7,8,Skye,0.88, 13  /  14.8  /  7.8 ,49.7%,4.4%,190,0.1%,"8,953",Initiator
8,9,Gekko,0.91, 13.5  /  14.9  /  4.8 ,49.8%,4.3%,193,0.1%,"8,701",Initiator
9,10,Fade,0.9, 13.3  /  14.8  /  6 ,49.5%,4.2%,192,0.1%,"8,570",Initiator
10,11,Viper,0.92, 13.3  /  14.5  /  5.2 ,47.9%,3.9%,194,0.1%,"7,988",Controller
11,12,Cypher,0.97, 13.8  /  14.2  /  5.2 ,49.4%,3.9%,196,0.2%,"7,972",Sentinel
12,13,Phoenix,1.02, 15.4  /  15.1  /  4.7 ,49.2%,3.9%,225,0.1%,"7,918",Duelist
13,14,Sova,0.93, 13.6  /  14.6  /  5.2 ,49.0%,3.5%,199,0.1%,"7,116",Initiator
14,15,KAY/O,0.87, 13.3  /  15.2  /  8.1 ,46.5%,3.3%,196,0.1%,"6,820",Initiator
15,16,Neon,0.94, 14.8  /  15.8  /  4.3 ,45.3%,3.1%,216,0.1%,"6,261",Duelist
16,17,Yoru,0.94, 14.3  /  15.2  /  4.3 ,45.8%,2.8%,207,0.1%,"5,698",Duelist
17,18,Breach,0.92, 14.1  /  15.2  /  5.8 ,49.3%,2.1%,202,0.1%,"4,262",Initiator
18,19,Chamber,0.99, 14.6  /  14.7  /  3.5 ,47.8%,1.9%,206,0.1%,"3,969",Sentinel
19,20,Astra,0.97, 14.2  /  14.7  /  5.5 ,48.3%,1.2%,201,0.1%,"2,476",Controller
20,21,Harbor,0.88, 13.2  /  15  /  5.4 ,47.5%,1.1%,190,0.1%,"2,261",Controller
