,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.2  /  16.1  /  3.5 ,48.7%,17.7%,235,0.1%,"3,417"
1,2,Sova,1.02, 14.9  /  14.5  /  6.5 ,51.5%,14.9%,207,0.2%,"2,873"
2,3,Omen,0.97, 14.8  /  15.2  /  9.6 ,48.1%,13.1%,201,0.1%,"2,517"
3,4,Killjoy,1.06, 15.3  /  14.5  /  3.6 ,49.6%,12.9%,207,0.2%,"2,484"
4,5,Reyna,1.12, 17.8  /  15.9  /  4.4 ,49.9%,9.6%,241,0.1%,"1,856"
5,6,KAY/O,0.95, 14.8  /  15.7  /  9.8 ,49.2%,5.5%,207,0.1%,"1,066"
6,7,Raze,1.06, 16.9  /  16  /  5.1 ,51.4%,4.1%,242,0.1%,792
7,8,Cypher,1.04, 15.1  /  14.6  /  5 ,53.1%,3.7%,203,0.2%,716
8,9,Brimstone,1, 14.7  /  14.6  /  11.2 ,54.4%,3.0%,210,0.1%,575
9,10,Phoenix,1.09, 17.6  /  16.1  /  5.1 ,51.0%,3.0%,240,0.1%,574
10,11,Astra,1.08, 15.4  /  14.3  /  8.5 ,50.7%,2.9%,209,0.2%,562
11,12,Sage,1.02, 15  /  14.7  /  7.1 ,54.5%,2.5%,204,0.1%,479
12,13,Fade,1.01, 14.7  /  14.6  /  6.9 ,49.7%,2.1%,203,0.2%,398
13,14,Chamber,1.06, 16.5  /  15.5  /  2.8 ,47.8%,1.5%,219,0.1%,289
14,15,Skye,0.96, 14.7  /  15.3  /  8.2 ,46.5%,1.5%,204,0.1%,288
15,16,Yoru,0.95, 14.9  /  15.7  /  4.2 ,50.7%,0.8%,207,0.1%,152
16,17,Breach,0.97, 14.5  /  15  /  7.6 ,46.9%,0.4%,201,0.1%,81
17,18,Neon,0.97, 16  /  16.6  /  4.8 ,40.0%,0.4%,229,0.1%,75
18,19,Harbor,0.9, 14.5  /  16  /  7.3 ,34.0%,0.3%,194,0.2%,50
19,20,Viper,1.06, 14.6  /  13.8  /  6.7 ,39.5%,0.2%,210,43,
