,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.85, 12.2  /  14.4  /  6.9 ,50.3%,12.9%,177,0.1%,"21,673",Sentinel
1,2,Reyna,1.04, 15.8  /  15.2  /  4.7 ,49.5%,10.7%,228,0.1%,"17,904",Duelist
2,3,Killjoy,0.95, 13.2  /  13.8  /  4.4 ,50.8%,8.3%,195,0.2%,"13,984",Sentinel
3,4,Raze,0.97, 14.8  /  15.2  /  5.3 ,51.2%,7.0%,223,0.1%,"11,763",Duelist
4,5,Omen,0.93, 13.8  /  14.9  /  5.9 ,47.6%,7.0%,198,0.1%,"11,753",Controller
5,6,Jett,0.98, 15.1  /  15.4  /  4 ,47.7%,6.0%,218,0.1%,"10,107",Duelist
6,7,Sova,0.92, 13.3  /  14.4  /  5.5 ,49.8%,5.1%,195,0.1%,"8,560",Initiator
7,8,Brimstone,0.91, 13.3  /  14.6  /  7.3 ,50.6%,4.7%,197,0.1%,"7,805",Controller
8,9,Fade,0.86, 12.6  /  14.7  /  6.3 ,49.4%,4.6%,185,0.1%,"7,698",Initiator
9,10,Phoenix,0.98, 14.8  /  15  /  4.7 ,48.2%,4.1%,217,0.1%,"6,886",Duelist
10,11,Gekko,0.89, 13  /  14.7  /  4.8 ,48.1%,3.8%,187,0.1%,"6,294",Initiator
11,12,Skye,0.84, 12.4  /  14.7  /  7.7 ,48.2%,3.6%,183,0.1%,"6,072",Initiator
12,13,Viper,0.89, 12.9  /  14.5  /  5.3 ,48.7%,3.5%,189,0.1%,"5,946",Controller
13,14,KAY/O,0.82, 12.4  /  15.1  /  7.8 ,46.0%,3.4%,186,0.1%,"5,638",Initiator
14,15,Yoru,0.93, 14.1  /  15.2  /  4.3 ,47.2%,3.3%,203,0.1%,"5,550",Duelist
15,16,Neon,0.91, 14.2  /  15.5  /  4.2 ,47.2%,3.3%,207,0.1%,"5,493",Duelist
16,17,Cypher,0.92, 13.1  /  14.2  /  5.2 ,47.8%,2.8%,187,0.1%,"4,765",Sentinel
17,18,Chamber,0.98, 14.2  /  14.5  /  3.4 ,46.2%,2.1%,205,0.1%,"3,586",Sentinel
18,19,Breach,0.89, 13.4  /  15.1  /  5.8 ,47.1%,1.6%,197,0.1%,"2,746",Initiator
19,20,Harbor,0.85, 12.6  /  14.9  /  5.6 ,46.6%,1.1%,184,0.1%,"1,878",Controller
20,21,Astra,0.95, 13.5  /  14.2  /  5.8 ,52.1%,0.9%,191,0.2%,"1,432",Controller
