,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Sage,0.77, 10.9  /  14.2  /  6.1 ,49.9%,13.1%,162,0.1%,"230,178",Sentinel
1,2,Reyna,1.0, 14.7  /  14.7  /  4.6 ,49.9%,11.1%,216,0.1%,"195,407",Duelist
2,3,Raze,0.91, 13.5  /  14.8  /  5 ,49.9%,7.7%,207,0.1%,"134,961",Duelist
3,4,Omen,0.85, 12.5  /  14.7  /  5 ,48.7%,6.8%,182,0.1%,"119,405",Controller
4,5,Jett,0.92, 13.6  /  14.8  /  3.9 ,48.8%,6.6%,201,0.1%,"115,420",Duelist
5,6,Gekko,0.79, 11.6  /  14.6  /  4.7 ,49.3%,5.6%,169,0.1%,"99,026",Initiator
6,7,Phoenix,0.9, 13.1  /  14.5  /  4.4 ,48.2%,5.0%,196,0.1%,"88,616",Duelist
7,8,Yoru,0.85, 12.6  /  14.9  /  4.4 ,47.0%,5.0%,184,0.1%,"87,235",Duelist
8,9,Killjoy,0.85, 11.8  /  13.9  /  4 ,50.6%,4.4%,176,0.1%,"77,319",Sentinel
9,10,Neon,0.85, 12.9  /  15.1  /  4.1 ,48.0%,4.4%,191,0.1%,"76,816",Duelist
10,11,Fade,0.77, 11.3  /  14.7  /  6.1 ,48.7%,4.2%,169,0.1%,"74,044",Initiator
11,12,Skye,0.8, 11.5  /  14.4  /  7.1 ,49.9%,4.1%,172,0.1%,"72,220",Initiator
12,13,Sova,0.8, 11.6  /  14.5  /  5 ,47.9%,4.1%,174,0.1%,"71,682",Initiator
13,14,Viper,0.82, 11.9  /  14.4  /  5 ,48.6%,3.5%,176,0.1%,"61,877",Controller
14,15,Brimstone,0.84, 12.1  /  14.4  /  6.1 ,48.9%,3.5%,182,0.1%,"61,563",Controller
15,16,KAY/O,0.77, 11.5  /  14.8  /  7.9 ,47.6%,2.8%,175,0.1%,"48,929",Initiator
16,17,Cypher,0.85, 12  /  14.1  /  4.8 ,48.9%,2.5%,174,0.1%,"43,565",Sentinel
17,18,Chamber,0.91, 13  /  14.3  /  3.5 ,49.2%,2.3%,188,0.1%,"39,970",Sentinel
18,19,Breach,0.84, 12.3  /  14.7  /  5.6 ,49.6%,1.5%,183,0.1%,"27,010",Initiator
19,20,Harbor,0.77, 11.4  /  14.8  /  5.2 ,46.8%,1.2%,168,0.1%,"21,847",Controller
20,21,Astra,0.89, 12.4  /  13.9  /  4.5 ,48.0%,0.6%,181,0.1%,"10,137",Controller
