,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.09, 17.4  /  16  /  3.7 ,49.3%,13.8%,238,0.1%,"519,290"
1,2,Brimstone,1, 14.8  /  14.8  /  9.2 ,51.0%,12.7%,206,0.1%,"477,303"
2,3,Breach,0.94, 14.4  /  15.3  /  7.4 ,48.8%,11.4%,197,0.1%,"428,252"
3,4,Reyna,1.14, 17.8  /  15.6  /  4.4 ,50.0%,8.9%,243,0.1%,"332,802"
4,5,Killjoy,1.02, 14.8  /  14.4  /  3.8 ,50.3%,8.6%,202,0.1%,"322,020"
5,6,Raze,1.05, 16.7  /  15.9  /  4.7 ,49.6%,7.5%,237,0.1%,"280,041"
6,7,Cypher,1.02, 15  /  14.7  /  4.8 ,49.2%,4.8%,202,0.1%,"180,363"
7,8,Sage,0.94, 14  /  14.9  /  6.9 ,50.1%,4.4%,193,0.1%,"164,284"
8,9,Chamber,1.09, 16.4  /  15.1  /  2.9 ,47.8%,4.2%,219,0.1%,"156,823"
9,10,Skye,0.95, 14.4  /  15.1  /  7.5 ,49.1%,3.4%,197,0.1%,"129,536"
10,11,Viper,0.99, 14.8  /  14.9  /  5.9 ,48.2%,3.2%,204,0.1%,"118,371"
11,12,Fade,0.97, 14.6  /  15.1  /  6.3 ,48.9%,2.7%,199,0.1%,"101,582"
12,13,Gekko,0.94, 14.3  /  15.1  /  4.8 ,49.4%,2.5%,192,0.1%,"94,667"
13,14,Neon,1, 16.4  /  16.5  /  4.3 ,47.8%,2.3%,228,0.1%,"86,715"
14,15,KAY/O,0.92, 14.4  /  15.5  /  9.3 ,45.2%,2.3%,203,0.1%,"85,277"
15,16,Omen,0.96, 14.7  /  15.3  /  7.3 ,45.6%,2.2%,201,0.1%,"84,340"
16,17,Phoenix,1.1, 17.1  /  15.5  /  4.6 ,49.8%,1.9%,236,0.1%,"72,029"
17,18,Astra,1.03, 15.2  /  14.8  /  6.7 ,47.0%,1.0%,206,0.1%,"38,664"
18,19,Yoru,1, 15.8  /  15.8  /  4.6 ,46.9%,1.0%,217,0.1%,"36,354"
19,20,Sova,0.97, 14.6  /  15  /  5.5 ,47.2%,0.7%,203,0.1%,"26,827"
20,21,Harbor,0.91, 14  /  15.3  /  6.2 ,43.6%,0.6%,191,0.1%,"21,445"
