,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Reyna,1.19, 18.2  /  15.3  /  4.6 ,50.5%,12.3%,255,0.2%,"499,679"
1,2,Jett,1.12, 17.3  /  15.5  /  3.9 ,49.4%,10.0%,243,0.2%,"407,542"
2,3,Sage,0.9, 13.2  /  14.7  /  7 ,49.9%,7.7%,187,0.1%,"313,126"
3,4,Skye,0.93, 13.9  /  14.9  /  7.7 ,49.3%,5.9%,197,0.1%,"239,396"
4,5,Omen,0.98, 14.7  /  15  /  6.3 ,48.2%,5.6%,206,0.1%,"228,733"
5,6,Raze,1.06, 16.5  /  15.5  /  4.9 ,49.7%,5.2%,240,0.2%,"211,198"
6,7,Deadlock,0.99, 14.8  /  14.9  /  4 ,49.1%,5.1%,211,0.1%,"206,169"
7,8,Viper,1, 14.5  /  14.5  /  5.9 ,50.0%,4.7%,206,0.1%,"191,971"
8,9,Killjoy,1, 14.1  /  14.1  /  3.9 ,50.6%,4.7%,200,0.1%,"191,950"
9,10,Brimstone,0.97, 14.3  /  14.7  /  7.9 ,50.7%,4.4%,205,0.1%,"179,129"
10,11,Chamber,1.11, 16.1  /  14.5  /  3.2 ,48.7%,4.2%,220,0.2%,"171,407"
11,12,Gekko,0.94, 13.9  /  14.9  /  5 ,50.5%,4.1%,194,0.1%,"164,719"
12,13,Phoenix,1.13, 17.1  /  15.1  /  4.7 ,50.6%,3.7%,243,0.2%,"149,492"
13,14,Fade,0.94, 14.1  /  14.9  /  6.4 ,49.7%,3.4%,198,0.1%,"138,005"
14,15,Cypher,1.01, 14.4  /  14.3  /  4.9 ,49.5%,3.2%,199,0.1%,"130,882"
15,16,Astra,1.05, 14.9  /  14.2  /  6.2 ,50.4%,2.8%,206,0.1%,"113,184"
16,17,Sova,0.98, 14.4  /  14.6  /  5.6 ,48.5%,2.5%,205,0.1%,"102,518"
17,18,Harbor,0.91, 13.7  /  15  /  6 ,46.8%,2.4%,192,0.1%,"95,903"
18,19,KAY/O,0.91, 14  /  15.3  /  8.2 ,45.9%,2.3%,202,0.1%,"94,502"
19,20,Neon,1.02, 16.3  /  16  /  4.2 ,48.3%,2.0%,231,0.2%,"82,071"
20,21,Breach,0.94, 14.5  /  15.3  /  6.2 ,48.1%,1.8%,205,0.1%,"74,906"
21,22,Yoru,1.03, 15.8  /  15.4  /  4.4 ,47.2%,1.8%,222,0.2%,"73,794"
